"verbatimFieldName","standardFieldName","namespace","uri","checked","source","comment","opinionBy","opinionDate"
"dwc:institutionid","institutionID","dwc","http://rs.tdwg.org/dwc/terms/institutionID",1,,,"John Wieczorek","2017-08-25"
"dwc:island","island","dwc","http://rs.tdwg.org/dwc/terms/island",1,,,"John Wieczorek","2017-08-25"
"dwc:islandgroup","islandGroup","dwc","http://rs.tdwg.org/dwc/terms/islandGroup",1,,,"John Wieczorek","2017-08-25"
"dwc:kingdom","kingdom","dwc","http://rs.tdwg.org/dwc/terms/kingdom",1,,,"John Wieczorek","2017-08-25"
"dwc:latestageorhigheststage","latestAgeOrHighestStage","dwc","http://rs.tdwg.org/dwc/terms/latestAgeOrHighestStage",1,,,"John Wieczorek","2017-08-25"
"dwc:latesteonorhighesteonothem","latestEonOrHighestEonothem","dwc","http://rs.tdwg.org/dwc/terms/latestEonOrHighestEonothem",1,,,"John Wieczorek","2017-08-25"
"dwc:latestepochorhighestseries","latestEpochOrHighestSeries","dwc","http://rs.tdwg.org/dwc/terms/latestEpochOrHighestSeries",1,,,"John Wieczorek","2017-08-25"
"dwc:latesteraorhighesterathem","latestEraOrHighestErathem","dwc","http://rs.tdwg.org/dwc/terms/latestEraOrHighestErathem",1,,,"John Wieczorek","2017-08-25"
"dwc:latestperiodorhighestsystem","latestPeriodOrHighestSystem","dwc","http://rs.tdwg.org/dwc/terms/latestPeriodOrHighestSystem",1,,,"John Wieczorek","2017-08-25"
"dwc:lifestage","lifeStage","dwc","http://rs.tdwg.org/dwc/terms/lifeStage",1,,,"John Wieczorek","2017-08-25"
"dwc:lithostratigraphicterms","lithostratigraphicTerms","dwc","http://rs.tdwg.org/dwc/terms/lithostratigraphicTerms",1,,,"John Wieczorek","2017-08-25"
"dwc:locality","locality","dwc","http://rs.tdwg.org/dwc/terms/locality",1,,,"John Wieczorek","2017-08-25"
"dwc:locationaccordingto","locationAccordingTo","dwc","http://rs.tdwg.org/dwc/terms/locationAccordingTo",1,,,"John Wieczorek","2017-08-25"
"dwc:locationid","locationID","dwc","http://rs.tdwg.org/dwc/terms/locationID",1,,,"John Wieczorek","2017-08-25"
