"Genus","standardGenus","Family","Order","Class","Phylum","Kingdom","authority","standard","checked","error","resolvelater"
"Gymnogenys","Polyboroides","Accipitridae","Accipitriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus is a synonym.",0
"Gymnoglaux","Gymnoglaux","Strigidae","Strigiformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Gymnogobius","Gymnogobius","Gobiidae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Gymnogyps","Gymnogyps","Cathartidae","Accipitriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Gymnolaemus",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Gymnolricco",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Gymnomstax","Gymnomystax","Icteridae","Passeriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Gymnomuraena","Gymnomuraena","Muraenidae","Anguilliformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Gymnomystax","Gymnomystax","Icteridae","Passeriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Gymnomyza","Gymnomyza","Meliphagidae","Passeriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Gymnopelia",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Gymnopelis",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Gymnophaps","Gymnophaps","Columbidae","Columbiformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"GYMNOPHIS","Gymnopis","Caeciliidae","Gymnophiona","Amphibia","Chordata","Animalia","Species 2000 & ITIS Catalogue of Life: May 2012",0,1,"Genus is misspelled.",0
"Gymnophops","Psarocolius","Icteridae","Passeriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus is a misspelled synonym.",0
"Gymnophthalmus","Gymnophthalmus","Gymnophthalmidae","Squamata","Reptilia","Chordata","Animalia","ITIS",1,1,,0
"Gymnopis","Gymnopis","Dermophiidae","Gymnophiona","Amphibia","Chordata","Animalia","AmphibiaWeb 2014-04-11",1,1,,0
"Gymnopithys","Gymnopithys","Thamnophilidae","Passeriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Gymnopithy's","Gymnopithys","Thamnophilidae","Passeriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"GYMNOPTHALMUS","Gymnophthalmus","Gymnophthalmidae","Squamata","Reptilia","Chordata","Animalia","ITIS",0,1,"Genus misspelled.",0
"Gymnorhamphichthys","Gymnorhamphichthys","Rhamphichthyidae","Gymnotiformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Gymnorhina","Gymnorhina","Cracticidae","Passeriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Gymnorhinus","Gymnorhinus","Corvidae","Passeriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Gymnorhis","Gymnoris","Passeridae","Passeriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Gymnoris","Petronia","Passeridae","Passeriformes","Aves","Chordata","Animalia","ITIS",1,1,,0
"Gymnornis [= Petronia]","Petronia","Passeridae","Passeriformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus contains a synonym.",0
"Gymnosarda","Gymnosarda","Scombridae","Perciformes","Actinopterygii","Chordata","Animalia","ITIS",1,1,,0
"Gymnosbucco","Gymnobucco","Ramphastidae","Piciformes","Aves","Chordata","Animalia","Avibase - IOC World Bird Names (2011)",0,1,"Genus misspelled.",0
"Gymnoschigorhis",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
"Gymnoschizorhis",,,,"Aves","Chordata","Animalia",,0,1,"Not a genus.",0
