"verbatimIdentificationQualifier","standardIdentificationQualifier","uri","checked","opinionBy","opinionDate"
"sp. ""6""","sp. nov.",,1,"John Wieczorek","2017-08-25"
"sp. ""A""",,,1,"John Wieczorek","2017-08-25"
"sp. ""atrox/patrox""","sp.",,1,"John Wieczorek","2017-08-25"
"sp. ""B""","sp.",,1,"John Wieczorek","2017-08-25"
"sp. ""b&w""","sp.",,1,"John Wieczorek","2017-08-25"
"sp. ""b+w""","sp.",,1,"John Wieczorek","2017-08-25"
"sp. ""big eyes""","sp.",,1,"John Wieczorek","2017-08-25"
"sp. ""black&white""","sp.",,1,"John Wieczorek","2017-08-25"
"sp. ""blotch""","sp.",,1,"John Wieczorek","2017-08-25"
"sp. ""broad stripe""","sp.",,1,"John Wieczorek","2017-08-25"
"sp. ""C""","sp.",,1,"John Wieczorek","2017-08-25"
"sp. ""corta""","sp.",,1,"John Wieczorek","2017-08-25"
"sp. ""dark spots""","sp.",,1,"John Wieczorek","2017-08-25"
"sp. ""flat""","sp.",,1,"John Wieczorek","2017-08-25"
"sp. ""freckled""","sp.",,1,"John Wieczorek","2017-08-25"
"sp. ""humphead""","sp.",,1,"John Wieczorek","2017-08-25"
"sp. ""kazumbe""","sp.",,1,"John Wieczorek","2017-08-25"
"sp. ""linea""","sp.",,1,"John Wieczorek","2017-08-25"
"sp. ""long adipose fin""","sp.",,1,"John Wieczorek","2017-08-25"
"sp. ""marbled""","sp.",,1,"John Wieczorek","2017-08-25"
"sp. ""moshi""","sp.",,1,"John Wieczorek","2017-08-25"
"sp. ""mottled""","sp.",,1,"John Wieczorek","2017-08-25"
"sp. ""oriental vipers complex""","sp.",,1,"John Wieczorek","2017-10-27"
"sp. ""pintado""","sp.",,1,"John Wieczorek","2017-08-25"
"sp. ""saddle""","sp.",,1,"John Wieczorek","2017-08-25"
"sp. ""sawfin shiner""","sp.",,1,"John Wieczorek","2017-08-25"
"sp. ""short adipose fin""","sp.",,1,"John Wieczorek","2017-08-25"
"sp. ""urique""","sp.",,1,"John Wieczorek","2017-08-25"
"sp. ""walteri""","sp.",,1,"John Wieczorek","2017-08-25"
"sp. ""white caudal edge""","sp.",,1,"John Wieczorek","2017-08-25"
"sp. # 1","sp.",,1,"John Wieczorek","2017-08-25"
"sp. #1","sp.",,1,"John Wieczorek","2017-08-25"
"sp. #2","sp.",,1,"John Wieczorek","2017-08-25"
"sp. #4","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (""aspis"" complex)","sp.",,1,"John Wieczorek","2017-10-27"
"sp. (""Oriental viper"" group)","sp.",,1,"John Wieczorek","2017-10-27"
"sp. (? alba)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (? azureus)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (? fernandezianus)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (? hollandi)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (? lispus)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (? n. sp.)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (? newnesi)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (? sinensis)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (?palumbus)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (“European vipers” group: “Vipera aspis complex”)","sp.",,1,"John Wieczorek","2017-10-27"
"sp. (“Oriental vipers” group)","sp.",,1,"John Wieczorek","2017-10-27"
"sp. (a)","sp.",,1,"John Wieczorek","2017-10-19"
"sp. (albino)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (alnorum or trailli ?)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (altamazonica complex)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (ammoceotes)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (ammocoete)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (ammocoetes)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (arfakiana group)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (b)","sp.",,1,"John Wieczorek","2017-10-19"
"sp. (basin form)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (bicolor complex)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (bogotensis group)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (Branching)","sp.",,1,"John Wieczorek","2017-10-27"
"sp. (broad head)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (broadtail madtom)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (c)","sp.",,1,"John Wieczorek","2017-10-19"
"sp. (c.f. europaeus)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (calamarina-group)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (catharinae-group)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (Caura, Orinoco)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (cephalica-clade)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (cf. brevispinis)","cf. brevispinis",,1,"John Wieczorek","2017-08-25"
"sp. (cf. eos)","cf. eos",,1,"John Wieczorek","2017-08-25"
"sp. (cf. flavobrunneus)","cf. flavobrunneus",,1,"John Wieczorek","2017-08-25"
"sp. (cf. limbatus)","cf. limbatus",,1,"John Wieczorek","2017-08-25"
"sp. (cf. mediterraneus)","cf. mediterraneus",,1,"John Wieczorek","2017-08-25"
"sp. (cf. melanostoma)","cf. melanostoma",,1,"John Wieczorek","2017-08-25"
"sp. (cf. minutilus)","cf. minutilus",,1,"John Wieczorek","2017-08-25"
"sp. (cf. mollis)","cf. mollis",,1,"John Wieczorek","2017-08-25"
"sp. (cf. paradoxum)","cf. paradoxum",,1,"John Wieczorek","2017-08-25"
"sp. (cf. platophrys)","cf. platophrys",,1,"John Wieczorek","2017-08-25"
"sp. (cf. pulcher)","cf. pulcher",,1,"John Wieczorek","2017-08-25"
"sp. (cf. valdiviae)","cf. valdiviae",,1,"John Wieczorek","2017-08-25"
"sp. (cf. vexillaris)","cf. vexillaris",,1,"John Wieczorek","2017-08-25"
"sp. (chalconota-group)","cf. vexillaris",,1,"John Wieczorek","2017-08-25"
"sp. (coarse ribs)","sp.",,1,"John Wieczorek","2017-10-27"
"sp. (cocos long-nose)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (coelomys)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (d)","sp.",,1,"John Wieczorek","2017-10-19"
"sp. (dendriticus ?)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (draco group)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (e)","sp.",,1,"John Wieczorek","2017-10-19"
"sp. (E. umbrinus or E. quadrivittatus)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (ebelingi ?)","species in question",,1,"John Wieczorek","2017-08-25"
"sp. (Encrusting)","sp.",,1,"John Wieczorek","2017-10-27"
"sp. (f)","sp.",,1,"John Wieczorek","2017-10-19"
"sp. (fuscoauratus-group)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (fuscus complex)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (grammicus-group)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (group I)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (group II)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. ('group ii')","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (group III)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (Holston)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (hybrid)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (hybrid?)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (jobiensis group)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (larva)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (lateralis group)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (lemniscatus-group)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (lesueurii complex)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (macconnelli / oleagineus)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (macronema)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (margaritifera-complex)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (melanoleucus-group)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (melanonotus group)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (migrans?)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (notatus-group)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (ocellatus-group)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (ocellifer-group)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (ochrophaeus-complex)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (papua group)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (parviceps group)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (peregrina or ruficapilla ?)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (perpusillus group)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (philadelphia X tolmei)","philadelphia X tolmei",,1,"John Wieczorek","2017-08-25"
"sp. (pink)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (pipiens complex)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (podicipinus-wagneri complex)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (poor condition)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (possibly bifilis)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (possibly tolmiei)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (pratti group)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (prob. hybrid elegans X flaveolus)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (quechua-group)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (redband)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (rk sp3)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (ruber group)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (sajori)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (schmidti-group)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (shag)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (speciosa or trichas)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (spumarius-complex)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (stanleyana group)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (stauriphora)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (taeniura)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (Tallapoosa sculpin)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (temporaria-group)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (trailii / alnorum [?])","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (Type A)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (type B)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (urunguensis-group)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (variegatus-group)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (Vipera aspis complex)","sp.",,1,"John Wieczorek","2017-10-27"
"sp. (Vipera berus complex)","sp.",,1,"John Wieczorek","2017-10-27"
"sp. (white)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (xantha ms)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. (yellow)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. ?","species in question",,1,"John Wieczorek","2017-08-25"
"sp. ??","species in question",,1,"John Wieczorek","2017-08-25"
"sp. ???","species in question",,1,"John Wieczorek","2017-08-25"
"sp. [? terminata]","cf. terminata",,1,"John Wieczorek","2017-08-25"
"sp. “adiposa larga”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “banded”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “brown”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “bryconamericus”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “bullocki”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “chata”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “chatta”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “cheirodon”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “circle E”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “comma”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “common”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “dark”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “deep body”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “ditto”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “dorsal spot”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “dorsal white spots”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “essequibo”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “flat”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “fused saddles”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “ghost”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “guapuche”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “half stripe”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “huge scales”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “incomplete”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “ireng”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “line”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “long”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “membrane”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “Muscadine darter”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “muy larga”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “no spot”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “no spots”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “no stripe”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “orange humeral”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “plain”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “pseudo-browni”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “pseudogephyrocharax”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “pseudomicrostomus”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “Sawfin Shiner”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “short anal fin”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “short”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “silver stripe”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “slender”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “slim”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “small saddle”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “spot”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “spots in stripe”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “stripetail”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “takutu 2”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “takutu”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “tencuanensis”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “upper caudal spot”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “ventuari”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “white dots”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “wide line”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “wide stripe”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. “yupukari”","sp.",,1,"John Wieczorek","2017-08-25"
"sp. <20 micrometers","sp.",,1,"John Wieczorek","2017-10-19"
"sp. <29 micrometers","sp.",,1,"John Wieczorek","2017-10-19"
"sp. 1","sp.",,1,"John Wieczorek","2017-08-25"
"sp. '1'","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 1 – sp. 5","sp.",,1,"John Wieczorek","2017-10-27"
"sp. 1 (cf. macrophthalma)","cf. macrophthalma",,1,"John Wieczorek","2017-08-25"
"sp. 1 (large)","sp.",,1,"John Wieczorek","2017-10-27"
"sp. 1 aff. lirata","sp.",,1,"John Wieczorek","2017-10-19"
"sp. 1 aff. radialis","sp.",,1,"John Wieczorek","2017-10-19"
"sp. 1 gr. costatum","sp.",,1,"John Wieczorek","2017-10-19"
"sp. 1 Lindström","sp.",,1,"John Wieczorek","2017-10-27"
"sp. 1 morphotype 13","sp.",,1,"John Wieczorek","2017-10-27"
"sp. 1 morphotype 7","sp.",,1,"John Wieczorek","2017-10-27"
"sp. 1 morphotype 8","sp.",,1,"John Wieczorek","2017-10-27"
"sp. 1 nov","sp. nov.",,1,"John Wieczorek","2017-10-27"
"sp. 1.","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 10","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 11","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 12","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 13","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 14","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 15","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 16","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 17","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 18","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 19","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 2","sp.",,1,"John Wieczorek","2017-08-25"
"sp. '2'","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 2 (small)","sp.",,1,"John Wieczorek","2017-10-27"
"sp. 2 aff emarginata","sp.",,1,"John Wieczorek","2017-10-19"
"sp. 2 aff. chaoi","sp.",,1,"John Wieczorek","2017-10-27"
"sp. 2 aff. radialis","sp.",,1,"John Wieczorek","2017-10-19"
"sp. 2 gr. costatum","sp.",,1,"John Wieczorek","2017-10-19"
"sp. 2 larva","sp.",,1,"John Wieczorek","2017-10-27"
"sp. 2 morphotype 14","sp.",,1,"John Wieczorek","2017-10-27"
"sp. 2 morphotype 9","sp.",,1,"John Wieczorek","2017-10-27"
"sp. 2 reticulate","sp.",,1,"John Wieczorek","2017-10-27"
"sp. 2.","sp.",,1,"John Wieczorek","2017-10-27"
"sp. 20","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 21","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 22","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 23","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 24","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 25","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 26","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 27","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 28","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 29","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 3","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 3 - Colorado","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 3 (cf. orientalis)","cf. orientalis",,1,"John Wieczorek","2017-08-25"
"sp. 30","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 303","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 304","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 305 longimanus","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 306 (paracanthus)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 307 (bilineatus)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 308 (comatus)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 309 (rectisetus)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 31","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 311","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 312","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 314 xavierfilhoi","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 316 holdenae","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 319 marinhoi","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 32","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 324","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 325","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 326 amati","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 328 riccardiae","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 33","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 330","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 338 nocturnigrus","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 34","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 35","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 36","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 37","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 38","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 39","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 3B","sp.",,1,"John Wieczorek","2017-10-19"
"sp. 3C","sp.",,1,"John Wieczorek","2017-10-19"
"sp. 3D","sp.",,1,"John Wieczorek","2017-10-19"
"sp. 3F","sp.",,1,"John Wieczorek","2017-10-19"
"sp. 3G","sp.",,1,"John Wieczorek","2017-10-19"
"sp. 3H","sp.",,1,"John Wieczorek","2017-10-19"
"sp. 3I","sp.",,1,"John Wieczorek","2017-10-19"
"sp. 3J","sp.",,1,"John Wieczorek","2017-10-19"
"sp. 3K","sp.",,1,"John Wieczorek","2017-10-19"
"sp. 3L","sp.",,1,"John Wieczorek","2017-10-19"
"sp. 3M","sp.",,1,"John Wieczorek","2017-10-19"
"sp. 3N","sp.",,1,"John Wieczorek","2017-10-19"
"sp. 3O","sp.",,1,"John Wieczorek","2017-10-19"
"sp. 3P","sp.",,1,"John Wieczorek","2017-10-19"
"sp. 4","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 4 dfh","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 40","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 41","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 42","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 43","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 44","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 45","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 46","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 47","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 48","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 49","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 5","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 5 ""wa allporti""","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 5 aff. waageni","sp.",,1,"John Wieczorek","2017-10-27"
"sp. 50","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 51","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 52","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 53","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 54","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 55","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 56","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 57","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 58","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 59","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 6","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 6.","sp.",,1,"John Wieczorek","2017-10-27"
"sp. 60","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 62","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 7","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 7 dfh","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 7 pupa","sp.",,1,"John Wieczorek","2017-10-27"
"sp. 7A","sp.",,1,"John Wieczorek","2017-10-27"
"sp. 8","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 9","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 9 dfh","sp.",,1,"John Wieczorek","2017-08-25"
"sp. 9 pupa","sp.",,1,"John Wieczorek","2017-10-27"
"sp. A","sp.",,1,"John Wieczorek","2017-08-25"
"sp. A  (n. sp.)","sp. nov.",,1,"John Wieczorek","2017-08-25"
"sp. A aff. granulosus","aff. granulosus",,1,"John Wieczorek","2017-08-25"
"sp. A Casier and Lethiers 1998","sp.",,1,"John Wieczorek","2017-10-19"
"sp. A Casier and Lethiers, 1998","sp.",,1,"John Wieczorek","2017-10-19"
"sp. a cf. pseudoforbesi","cf. pseudoforbesi",,1,"John Wieczorek","2017-08-25"
"sp. A Johnson","sp.",,1,"John Wieczorek","2017-08-25"
"sp. A of Boyce 1989","sp.",,1,"John Wieczorek","2017-10-27"
"sp. A of Mckellar","sp.",,1,"John Wieczorek","2017-10-27"
"sp. A sensu BENGTSON 1990","sp.",,1,"John Wieczorek","2017-10-27"
"sp. A sensu Ristedt","sp.",,1,"John Wieczorek","2017-08-25"
"sp. A sensus Becker (1971)","sp.",,1,"John Wieczorek","2017-10-19"
"sp. A Witzke 1976","sp.",,1,"John Wieczorek","2017-08-25"
"sp. A Witzke and Strimple","sp.",,1,"John Wieczorek","2017-08-25"
"sp. A.","sp.",,1,"John Wieczorek","2017-08-25"
"sp. A. Williams in Williams et al. 1987","sp.",,1,"John Wieczorek","2017-10-27"
"sp. A/C","sp.",,1,"John Wieczorek","2017-08-25"
"sp. A0","sp.",,1,"John Wieczorek","2017-10-27"
"sp. A02","sp.",,1,"John Wieczorek","2017-10-27"
"sp. A1","sp.",,1,"John Wieczorek","2017-10-27"
"sp. A2","sp.",,1,"John Wieczorek","2017-10-27"
"sp. A3","sp.",,1,"John Wieczorek","2017-10-27"
"sp. A4","sp.",,1,"John Wieczorek","2017-10-27"
"sp. A5","sp.",,1,"John Wieczorek","2017-10-27"
"sp. A6","sp.",,1,"John Wieczorek","2017-10-27"
"sp. A-C","sp.",,1,"John Wieczorek","2017-10-27"
"sp. A-D","sp.",,1,"John Wieczorek","2017-10-27"
"sp. aff. attenuatum type 2","sp.",,1,"John Wieczorek","2017-08-25"
"sp. aff. furcatum type 1","sp.",,1,"John Wieczorek","2017-08-25"
"sp. aff. galaxias","aff. galaxias",,1,"John Wieczorek","2017-08-25"
"sp. aff. jaegersteni type 1","sp.",,1,"John Wieczorek","2017-08-25"
"sp. aff. lavenbergi","aff. lavenbergi",,1,"John Wieczorek","2017-08-25"
"sp. aff. lysina","aff. lysina",,1,"John Wieczorek","2017-08-25"
"sp. aff. marinus","aff. marinus",,1,"John Wieczorek","2017-08-25"
"sp. aff. punctitaeniatus","aff. punctitaeniatus",,1,"John Wieczorek","2017-08-25"
"sp. albogularis","sp.",,1,"John Wieczorek","2017-08-25"
"sp. alpha","sp.",,1,"John Wieczorek","2017-10-27"
"sp. AR4","sp.",,1,"John Wieczorek","2017-10-27"
"sp. B","sp.",,1,"John Wieczorek","2017-08-25"
"sp. B (D?)","sp.",,1,"John Wieczorek","2017-08-25"
"sp. B aff. granulosus","aff. granulosus",,1,"John Wieczorek","2017-08-25"
"sp. b cf. paraforbesi","cf. paraforbesi",,1,"John Wieczorek","2017-08-25"
"sp. B Imbrie","sp.",,1,"John Wieczorek","2017-10-19"
"sp. B Lethiers and Casier 1996","sp.",,1,"John Wieczorek","2017-10-19"
"sp. B sensu Ristedt","sp.",,1,"John Wieczorek","2017-08-25"
"sp. B sensu Widz 1991","sp.",,1,"John Wieczorek","2017-10-27"
"sp. B Witzke 1976","sp.",,1,"John Wieczorek","2017-08-25"
