"verbatimDisposition","StandardDisposition","standard","checked"
"Discarded May 1925",,0,0
"Discarded Nov. 21 1943. (Grease-burned)",,0,0
"Discarded Oct 1955",,0,0
"discarded October 1, 1973",,0,0
"Discarded Sep 1908 by W.M. (grease burnt etc)",,0,0
"Discarded, 1 Feb 1956, grease-burned",,0,0
"Discarded, 1 Feb 1977",,0,0
"Discarded, 14 Jan 1955, J.F.",,0,0
"Discarded, 18 May 194[illeg] (crossed out); Given ",,0,0
"Discarded, 18 Nov 1975",,0,0
"Discarded, 1906",,0,0
"Discarded, 20 Jan 1906. W.DeW.M.",,0,0
"Discarded, 20 Jan 1930",,0,0
"Discarded, 21 May 1971, MR. OBRIEN",,0,0
"Discarded, 22 Feb 1962",,0,0
"Discarded, 22 Jan 1956, J.F.",,0,0
"Discarded, 22 Jan 1956. [illeg].F.",,0,0
"Discarded, 23 Feb 1994",,0,0
"Discarded, 24 Oct 1906",,0,0
"Discarded, 27 Aug 1916",,0,0
"Discarded, 29 May 1955",,0,0
"Discarded, 30 Apr 1942",,0,0
"Discarded, 31 Mar 1925",,0,0
"Discarded, 4 Feb 1959, Dr. Vaurie",,0,0
"Discarded, 4 Mar 1955, D.A.",,0,0
"Discarded, 5 Oct 1931",,0,0
"Discarded, 6 Oct 1954 J.F.",,0,0
"Discarded, 6 Oct 1954, J.F.",,0,0
"Discarded, 7 Oct 1954 J.F.",,0,0
"Discarded, Aug 1920",,0,0
"Discarded, Aug 1923",,0,0
"Discarded, Aug 1953",,0,0
"Discarded, Aug 1958",,0,0
"Discarded, by Dr. Vaurie 25 March 1956",,0,0
"Discarded, D. Amadon, 24 Jun 1964",,0,0
"Discarded, Destroyed by insects, 9 May 1917",,0,0
"Discarded, Dr. Amadon, 17 Jul 1963",,0,0
"Discarded, Feb 1937",,0,0
"Discarded, Feb 1963",,0,0
"Discarded, insect eaten, 10 Nov 1917",,0,0
"Discarded, Jan 1921",,0,0
"Discarded, Jan 1953; ""Presented to Buffalo Museum ",,0,0
"Discarded, Jul 1920",,0,0
"Discarded, Jul 1946",,0,0
"Discarded, Jun 1920",,0,0
"Discarded, Jun 1931",,0,0
"Discarded, June 1971",,0,0
