verbatimTypeStatus	standardTypeStatus	standard	checked
HOLOTYPE OF AMAZONA LEUCOCEPHALA PALMARUM, TODD, W. E. C. 1916. THE BIRDS OF THE ISLE OF PINES. ANNALS CARNEGIE MUSEUM, 146-296. PAGE 228, PUBLISHED 17 FEBRUARY 1916.	holotype	0	1
HOLOTYPE OF AMBLYCERCUS HOLOSERICEUS CENTRALIS, TODD, W. E. C. 1916. PRELIMINARY DIAGNOSES OF FIFTEEN APPARENTLY NEW NEOTROPICAL BIRDS. PROC. BIOL. SOC. WASH., 95-98. PAGE 95, PUBLISHED 6 JUNE 1916.	holotype	0	1
HOLOTYPE OF AMBYSTOMA BARBOURI	holotype	0	1
HOLOTYPE OF AMBYSTOMA CINGULATUM BISHOPI, GOIN, 1950, ANN. CARNEGIE MUS., 31:300	holotype	0	1
HOLOTYPE OF AMBYSTOMA NOTHAGENES	holotype	0	1
HOLOTYPE OF AMBYSTOMA TIGRINUM DIABOLI	holotype	0	1
HOLOTYPE OF AMEIVA AMEIVA BILINEATA	holotype	0	1
HOLOTYPE OF AMEIVA AUBERI BEHRINGENSIS, LEE AND SCHWARTZ 1985, ANN. CARN. MUS. 54(2):13.	holotype	0	1
HOLOTYPE OF AMEIVA AUBERI BILATERALIS, MCCOY, 1970, ANN. CARNEGIE MUS., 41:142	holotype	0	1
HOLOTYPE OF AMEIVA AUBERI FELIS, MCCOY, 1970, ANN. CARNEGIE MUS., 41:142	holotype	0	1
HOLOTYPE OF AMEIVA AUBERI FOCALIS, MCCOY, 1970, ANN. CARNEGIE MUS., 41:137	holotype	0	1
HOLOTYPE OF AMEIVA AUBERI KINGI, MCCOY, 1970, ANN. CARNEGIE MUS., 41:130	holotype	0	1
HOLOTYPE OF AMEIVA AUBERI MULTILINEATA, MCCOY, 1970, ANN. CARNEGIE MUS., 41:132	holotype	0	1
HOLOTYPE OF AMEIVA AUBERI OBSOLETA, MCCOY, 1970, ANN. CARNEGIE MUS., 41:139	holotype	0	1
HOLOTYPE OF AMEIVA AUBERI PARVINSULAE, LEE AND SCHWARTZ, 1985, ANN. CARN. MUS. 54(2):17.	holotype	0	1
HOLOTYPE OF AMEIVA AUBERI RICHMONDI, MCCOY, 1970, ANN. CARNEGIE MUS., 41:134	holotype	0	1
