"verbatimLifeStage","standardLifeStage","uri","checked","opinionBy","opinionDate"
"Soft embryos- 5 days",,,0,"John Wieczorek","2017-08-25"
"Soft Embryos In All",,,0,"John Wieczorek","2017-08-25"
"soft embryos in all but 1 infert",,,0,"John Wieczorek","2017-08-25"
"Soft embryos in both",,,0,"John Wieczorek","2017-08-25"
"Soft embryos- probably one week",,,0,"John Wieczorek","2017-08-25"
"Soft Embryos six days",,,0,"John Wieczorek","2017-08-25"
"Soft embryos- well formed",,,0,"John Wieczorek","2017-08-25"
"soft embryos, 1 infertile",,,0,"John Wieczorek","2017-08-25"
"soft embryos; 1 addled",,,0,"John Wieczorek","2017-08-25"
"Soft embryos; infertile",,,0,"John Wieczorek","2017-08-25"
"soft embryos; sets about equally",,,0,"John Wieczorek","2017-08-25"
"Soft embyro and Fresh",,,0,"John Wieczorek","2018-10-10"
"soft embyros",,,0,"John Wieczorek","2018-10-10"
"soft formed embryos",,,0,"John Wieczorek","2017-08-25"
"Soft small embryos",,,0,"John Wieczorek","2017-08-25"
"Soft tiny embryos",,,0,"John Wieczorek","2017-08-25"
"soft to hard embryos",,,0,"John Wieczorek","2017-08-25"
"soft, well formed embryos",,,0,"John Wieczorek","2017-08-25"
"Soft, well formed embryos- 1 wee",,,0,"John Wieczorek","2017-08-25"
"Soft, well formed embryos- 1 week",,,0,"John Wieczorek","2017-08-25"
"Soft, well formed embryos.",,,0,"John Wieczorek","2017-08-25"
"soft, well-formed embryos",,,0,"John Wieczorek","2017-08-25"
"Soft-boned embryos",,,0,"John Wieczorek","2017-08-25"
"solid inside",,,0,"John Wieczorek","2017-08-25"
"som",,,0,"John Wieczorek","2017-08-25"
"some",,,0,"John Wieczorek","2017-08-25"
"some 10 days incubated",,,0,"John Wieczorek","2017-08-25"
"Some 2 weeks incubation",,,0,"John Wieczorek","2017-08-25"
"some 2/3 some just started",,,0,"John Wieczorek","2017-08-25"
"Some 5 days advanced.",,,0,"John Wieczorek","2017-08-25"
"some 5 days incubated",,,0,"John Wieczorek","2017-08-25"
"some advanced",,,0,"John Wieczorek","2017-08-25"
"some days",,,0,"John Wieczorek","2017-08-25"
"Some eggs hatched in wild; two y",,,0,"John Wieczorek","2017-08-25"
"Some eggs hatched in wild; two young fledged.",,,0,"John Wieczorek","2017-08-25"
"Some fresh and other begun",,,0,"John Wieczorek","2017-08-25"
"Some fresh and some slightly inc",,,0,"John Wieczorek","2017-08-25"
"Some fresh and some slightly incubated.",,,0,"John Wieczorek","2017-08-25"
"Some fresh others started",,,0,"John Wieczorek","2017-08-25"
"Some fresh some incubated",,,0,"John Wieczorek","2017-08-25"
"some fresh, 3 slightly developed",,,0,"John Wieczorek","2017-08-25"
"Some Fresh, Commenced",,,0,"John Wieczorek","2017-08-25"
"some fresh, others begun",,,0,"John Wieczorek","2017-08-25"
"Some fresh, others strong",,,0,"John Wieczorek","2017-08-25"
"Some fresh, some slight",,,0,"John Wieczorek","2017-08-25"
"Some fresh, some slight.",,,0,"John Wieczorek","2017-08-25"
"Some Fresh, Somes partly.",,,1,"John Wieczorek","2017-08-25"
"some hours",,,0,"John Wieczorek","2017-08-25"
"some incubation",,,0,"John Wieczorek","2017-08-25"
"some incubation--addled",,,0,"John Wieczorek","2017-08-25"
"Some of the eggs seem quite fres",,,0,"John Wieczorek","2017-08-25"
"Some of the eggs seem quite fresh while others wer",,,0,"John Wieczorek","2017-08-25"
"Some small embryos.",,,0,"John Wieczorek","2017-08-25"
"Some started and some fresh",,,0,"John Wieczorek","2017-08-25"
