"verbatimMonth","monthNumber","dayOfYearForFirst","checked","opinionBy","opinionDate"
"12/*/",,,1,"John Wieczorek","2017-08-25"
"12/26",12,334,1,"John Wieczorek","2018-05-18"
"120",,,1,"John Wieczorek","2017-08-25"
"121",,,1,"John Wieczorek","2017-08-25"
"122",,,1,"John Wieczorek","2017-08-25"
"127",,,1,"John Wieczorek","2017-08-25"
"12th",,,1,"John Wieczorek","2018-04-30"
"13 ",,,1,"John Wieczorek","2017-08-25"
"13-",,,1,"John Wieczorek","2017-12-03"
"13 1872; Aug 14",,,1,"John Wieczorek","2018-04-29"
"13 January",1,1,1,"David Bloom","2018-06-13"
"13 June",6,151,1,"John Wieczorek","2017-08-25"
"13 May",5,121,1,"David Bloom","2018-06-11"
"13 vii",7,181,1,"John Wieczorek","2017-08-25"
"137",,,1,"John Wieczorek","2017-08-25"
"139",,,1,"John Wieczorek","2017-08-25"
"13th",,,1,"John Wieczorek","2018-04-30"
"14",,,1,"John Wieczorek","2017-08-25"
"14-",,,1,"John Wieczorek","2017-12-03"
"14 April",4,90,1,"tuco","2018-05-18"
"14 Oct",10,274,1,"David Bloom","2018-06-11"
"140",,,1,"John Wieczorek","2017-08-25"
"14JUL",7,181,1,"John Wieczorek","2017-08-25"
"14OCT",10,273,1,"John Wieczorek","2017-08-25"
"14th",,,1,"John Wieczorek","2018-04-30"
"15",,,1,"John Wieczorek","2017-08-25"
"15-",,,1,"John Wieczorek","2017-12-03"
"15 & 16/",,,1,"John Wieczorek","2017-08-25"
"15 1970",,,1,"John Wieczorek","2017-08-25"
"15 April",4,91,1,"David Bloom","2018-06-11"
"15 ca",,,1,"John Wieczorek","2018-05-18"
"15 June",6,152,1,"David Bloom","2018-06-11"
"15 Mar",3,60,1,"David Bloom","2018-06-11"
"15 May",5,120,1,"John Wieczorek","2017-08-25"
"15 Nov",11,305,1,"David Bloom","2018-06-11"
"15/20",,,1,"John Wieczorek","2018-05-18"
"156",,,1,"John Wieczorek","2017-08-25"
"15Jun",6,151,1,"John Wieczorek","2017-08-25"
"15th",,,1,"John Wieczorek","2017-08-25"
"16",,,1,"John Wieczorek","2017-08-25"
"16-",,,1,"John Wieczorek","2017-12-03"
"16 July",7,182,1,"David Bloom","2018-06-11"
"16 Jun",6,151,1,"John Wieczorek","2017-08-25"
"16 November",11,304,1,"John Wieczorek","2017-08-25"
"16 Sept",9,244,1,"David Bloom","2018-06-11"
"165",,,1,"John Wieczorek","2017-08-25"
"166",,,1,"John Wieczorek","2017-08-25"
"16th",,,1,"John Wieczorek","2018-04-30"
"17",,,1,"John Wieczorek","2017-08-25"
"17-",,,1,"John Wieczorek","2017-12-03"
"17 & 18",,,1,"John Wieczorek","2017-08-25"
"17- 18 December",12,334,1,"John Wieczorek","2017-08-25"
"17 Apr",4,90,1,"John Wieczorek","2017-08-25"
"17 April",4,91,1,"David Bloom","2018-06-11"
"17 ca",,,1,"John Wieczorek","2018-05-18"
"17 Feb",2,31,1,"tuco","2018-05-18"
"17 Jan",1,1,1,"tuco","2018-05-18"
"17 March",3,59,1,"John Wieczorek","2017-08-25"
"17 May",5,120,1,"John Wieczorek","2017-08-25"
"17th",,,1,"John Wieczorek","2018-04-30"
"18 ",,,1,"John Wieczorek","2017-08-25"
"18-",,,1,"John Wieczorek","2017-12-03"
"18 December",12,334,1,"John Wieczorek","2017-11-01"
"18 June",6,151,1,"John Wieczorek","2017-08-25"
"18 October",10,273,1,"John Wieczorek","2017-08-25"
"18?",,,1,"John Wieczorek","2017-08-25"
"1800's",,,1,"John Wieczorek","2017-08-25"
"1851",,,1,"David Bloom","2018-06-11"
"1856; Cat at USNM April",4,91,1,"David Bloom","2018-06-11"
"1859",,,1,"John Wieczorek","2018-05-18"
"1859 or 8",,,1,"David Bloom","2018-06-11"
"1862",,,1,"John Wieczorek","2018-05-18"
"1872 ",,,1,"David Bloom","2018-06-11"
"1872-",,,1,"John Wieczorek","2017-08-25"
"1875 or Aug 1887-July",,,1,"David Bloom","2018-06-11"
"1892",,,1,"John Wieczorek","2017-08-25"
"1897- 1909- 1965-",,,1,"John Wieczorek","2017-08-25"
"18October",10,273,1,"John Wieczorek","2017-08-25"
"18th",,,1,"John Wieczorek","2018-04-30"
"19",,,1,"John Wieczorek","2017-08-25"
"19-",,,1,"John Wieczorek","2017-12-03"
"19 and 24",,,1,"John Wieczorek","2017-08-25"
"19 July 1979 and died Summer",,,1,"John Wieczorek","2017-08-25"
"19 May",5,120,1,"John Wieczorek","2017-08-25"
"19 Sept ",9,243,1,"John Wieczorek","2017-08-25"
"1900 to",,,1,"David Bloom","2018-06-11"
"1915",,,1,"John Wieczorek","2017-08-25"
"1925- 1938-",,,1,"John Wieczorek","2017-08-25"
"1931",,,1,"John Wieczorek","2018-04-26"
"1932",,,1,"John Wieczorek","2017-08-25"
"1938- 1947-",,,1,"John Wieczorek","2017-08-25"
"1939 ",,,1,"John Wieczorek","2017-08-25"
"1940 ",,,1,"David Bloom","2018-06-11"
"1941",,,1,"John Wieczorek","2017-08-25"
"1941 to June",,,1,"John Wieczorek","2017-08-25"
"1947 ",,,1,"tuco","2018-05-18"
"1948 ",,,1,"tuco","2018-05-18"
"1948-",,,1,"John Wieczorek","2017-08-25"
"1949",,,1,"John Wieczorek","2017-08-25"
"1951",,,1,"John Wieczorek","2017-08-25"
"1954 or",,,1,"John Wieczorek","2017-08-25"
"1955",,,1,"John Wieczorek","2017-08-25"
"1956",,,1,"John Wieczorek","2017-08-25"
"1957 ",,,1,"John Wieczorek","2018-05-18"
"1959 ",,,1,"tuco","2018-05-18"
"1959 or",,,1,"John Wieczorek","2017-08-25"
"1960-",,,1,"John Wieczorek","2017-08-25"
"1961",,,1,"John Wieczorek","2017-08-25"
"1962 -",,,1,"tuco","2018-05-18"
"1962- 1971 (MSU)- 1974 - 1979 (MSU)-",,,1,"John Wieczorek","2017-08-25"
"1964",,,1,"John Wieczorek","2017-08-25"
"1965",,,1,"John Wieczorek","2017-12-03"
"1965 to ?Jan",,,1,"tuco","2018-05-18"
"1966 ",,,1,"David Bloom","2018-06-13"
"1966-",,,1,"John Wieczorek","2017-08-25"
"1967-",,,1,"John Wieczorek","2017-08-25"
"1968",,,1,"John Wieczorek","2017-08-25"
"1969",,,1,"John Wieczorek","2017-08-25"
"1970",,,1,"John Wieczorek","2017-08-25"
"1971",,,1,"John Wieczorek","2017-08-25"
"1971 or early",,,1,"John Wieczorek","2017-08-25"
"1971 to September",,,1,"John Wieczorek","2017-08-25"
"1972",,,1,"John Wieczorek","2017-08-25"
"1972 early",,,1,"John Wieczorek","2017-08-25"
"1972 or",,,1,"John Wieczorek","2017-08-25"
"1973",,,1,"John Wieczorek","2017-08-25"
"1973 (or",,,1,"John Wieczorek","2017-08-25"
"1974",,,1,"John Wieczorek","2017-08-25"
"1974 or",,,1,"John Wieczorek","2017-08-25"
"1975- 1988-1991-",,,1,"John Wieczorek","2017-08-25"
"1975 or",,,1,"John Wieczorek","2017-08-25"
"1976",,,1,"David Bloom","2018-06-11"
"1977",,,1,"John Wieczorek","2017-08-25"
"1978 or",,,1,"John Wieczorek","2017-08-25"
"1978 prior to 1 May",,,1,"John Wieczorek","2017-08-25"
"1981",,,1,"John Wieczorek","2017-08-25"
"1982 ",,,1,"John Wieczorek","2017-08-25"
"1982 September",9,243,1,"John Wieczorek","2017-08-25"
"1983",,,1,"John Wieczorek","2017-08-25"
"1984",,,1,"David Bloom","2018-06-11"
"1985",,,1,"John Wieczorek","2017-08-25"
"1985 and",,,1,"John Wieczorek","2017-08-25"
"1986",,,1,"John Wieczorek","2017-08-25"
"1987 / or / Jan",,,1,"John Wieczorek","2018-04-29"
"1987 and",,,1,"John Wieczorek","2017-08-25"
"1988-",,,1,"John Wieczorek","2017-08-25"
"1989",,,1,"John Wieczorek","2017-08-25"
"1989-",,,1,"John Wieczorek","2017-08-25"
"1990 i",,,1,"John Wieczorek","2017-08-25"
"1991",,,1,"John Wieczorek","2017-08-25"
"1992",,,1,"John Wieczorek","2017-08-25"
"1994 ",,,1,"David Bloom","2018-06-13"
"1995- 1997- 1999- 2001- 2004-",,,1,"John Wieczorek","2017-08-25"
"1996",,,1,"John Wieczorek","2017-08-25"
"19th",,,1,"John Wieczorek","2018-04-30"
"1l",11,304,1,"John Wieczorek","2017-08-25"
"1st",,,1,"John Wieczorek","2018-04-29"
"2",2,31,1,"John Wieczorek","2017-08-25"
"2-",,,1,"John Wieczorek","2017-12-03"
"2 APR",4,90,1,"John Wieczorek","2017-08-25"
"2 April",4,90,1,"tuco","2018-05-18"
"2 Aug",8,213,1,"David Bloom","2018-06-11"
"2 June",6,152,1,"David Bloom","2018-06-11"
"2 Nov",11,305,1,"David Bloom","2018-06-11"
"2 SEP",9,243,1,"John Wieczorek","2017-08-25"
"2 weeks of Jan",1,0,1,"John Wieczorek","2017-08-25"
"20",,,1,"John Wieczorek","2017-08-25"
"20-",,,1,"John Wieczorek","2017-12-03"
"20 Aug",8,212,1,"John Wieczorek","2017-08-25"
"20 January",1,0,1,"John Wieczorek","2017-08-25"
"20 July",7,182,1,"David Bloom","2018-06-11"
"20 Nov",11,305,1,"David Bloom","2018-06-11"
"20/8",,,1,"John Wieczorek","2018-04-30"
"2000 i",,,1,"John Wieczorek","2017-08-25"
"2000 to January",,,1,"John Wieczorek","2017-12-03"
"2002",,,1,"John Wieczorek","2017-08-25"
"2003",,,1,"John Wieczorek","2018-04-29"
"2003 or early",,,1,"John Wieczorek","2017-08-25"
"2004 ",,,1,"John Wieczorek","2017-08-25"
"2010 i",,,1,"John Wieczorek","2017-08-25"
