"verbatimGeodeticDatum","standardGeodeticDatum","epsg","checked","opinionBy","opinionDate","uri"
"-100.2385630000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.2390050000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.2409660000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.2457280000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.2584840000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.2769700000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.2784180000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.2855830000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.2859750000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.2913440000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.3072200000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.3093480000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.3235860000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.3263710000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.3270940000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.3313900000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.3385270000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.3503050000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.3564520000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.3585330000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.3593780000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.3687850000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.3720080000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.3766310000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.3934420000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.4157260000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.4298040000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.4363270000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.4370130000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.4383870000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.4429780000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.4480520000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.4490460000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.4501020000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.4545230000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.4567540000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.4573610000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.4633500000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.4637170000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.4656110000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.4697480000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.4700280000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.4760880000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.4805390000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.4812460000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.4819710000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.4820740000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.4826160000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.4832860000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.4844400000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.4864650000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.4874000000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.4895100000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.4937810000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.4949930000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.4961210000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.4966380000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.4974400000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.4977400000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.4979530000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.4979870000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.4982400000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.4989970000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.4994440000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5002410000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5005110000","not recorded",,1,"John Wieczorek","2020-05-12",
"-100.5006240000","not recorded",,1,"John Wieczorek","2020-05-12",
