verbatimFieldName	standardFieldName	namespace	standard	checked	source	comment
kingdom	kingdom	dwc	1	1		
language	language	dcterms	1	1		
lat	verbatimLatitude	dwc	0	1		If dwc:verbatimLatitude not populated
latestageorhigheststage	latestAgeOrHighestStage	dwc	1	1		
latesteonorhighesteonothem	latestEonOrHighestEonothem	dwc	1	1		
latestepochorhighestseries	latestEpochOrHighestSeries	dwc	1	1		
latesteraorhighesterathem	latestEraOrHighestErathem	dwc	1	1		
latestperiodorhighestsystem	latestPeriodOrHighestSystem	dwc	1	1		
latitude	verbatimLatitude	dwc	0	1		If dwc:verbatimLatitude not populated
length	length	dwcloud	0	1		dynamicProperties as length, or MeasurementOrFact
license	license	dcterms	1	1		
lifestage	lifeStage	dwc	1	1		
lithostratigraphicterms	lithostratigraphicTerms	dwc	1	1		
locality	locality	dwc	1	1		
locationaccordingto	locationAccordingTo	dwc	1	1		
locationid	locationID	dwc	1	1		
locationremarks	locationRemarks	dwc	1	1		
lon	verbatimLongitude	dwc	0	1		If dwc:verbatimLongitude not populated
long	verbatimLongitude	dwc	0	1		If dwc:verbatimLongitude not populated
longitude	verbatimLongitude	dwc	0	1		If dwc:verbatimLongitude not populated
lot count	individualCount	dwc	0	1		
lowestbiostratigraphiczone	lowestBiostratigraphicZone	dwc	1	1		
materialsampleid	materialSampleID	dwc	1	1		
maximumdepthinmeters	maximumDepthInMeters	dwc	1	1		
maximumdistanceabovesurfaceinmeters	maximumDistanceAboveSurfaceInMeters	dwc	1	1		
maximumelevationinmeters	maximumElevationInMeters	dwc	1	1		
member	member	dwc	1	1		
microhabitat			0	1	FIMS	
minimumdepthinmeters	minimumDepthInMeters	dwc	1	1		
minimumdistanceabovesurfaceinmeters	minimumDistanceAboveSurfaceInMeters	dwc	1	1		
minimumelevationinmeters	minimumElevationInMeters	dwc	1	1		
modified	modified	dcterms	1	1		
month	month	dwc	1	1		
monthcollected	month	dwc	0	1		
monthidentified	monthIdentified	dwcloud	1	1		Contributes to dwc:dateIdentified
municipality	municipality	dwc	1	1		
nameaccordingto	nameAccordingTo	dwc	1	1		
nameaccordingtoid	nameAccordingToID	dwc	1	1		
namepublishedin	namePublishedIn	dwc	1	1		
namepublishedinid	namePublishedInID	dwc	1	1		
namepublishedinyear	namePublishedInYear	dwc	1	1		
nomenclaturalcode	nomenclaturalCode	dwc	1	1		
nomenclaturalstatus	nomenclaturalStatus	dwc	1	1		
occurrenceid	occurrenceID	dwc	1	1		
occurrenceremarks	occurrenceRemarks	dwc	1	1		
occurrencestatus	occurrenceStatus	dwc	1	1		
order	order	dwc	1	1		
organismid	organismID	dwc	1	1		
organismname	organismName	dwc	1	1		
organismquantity	organismQuantity	dwc	1	1		
organismquantitytype	organismQuantityType	dwc	1	1		
organismremarks	organismRemarks	dwc	1	1		
organismscope	organismScope	dwc	1	1		
originalnameusage	originalNameUsage	dwc	1	1		
originalnameusageid	originalNameUsageID	dwc	1	1		
othercatalognumbers	otherCatalogNumbers	dwc	1	1		
ownerinstitutioncode	ownerInstitutionCode	dwc	1	1		
parenteventid	parentEventID	dwc	1	1		
parentnameusage	parentNameUsage	dwc	1	1		
parentnameusageid	parentNameUsageID	dwc	1	1		
permitinformation			0	1	FIMS	
photo	associatedMedia	dwc	0	1		There could be other fields that also map into associatedMedia.
phylum	phylum	dwc	1	1		
plateid			0	1	FIMS	
pointradiusspatialfit	pointRadiusSpatialFit	dwc	1	1		
preparations	preparations	dwc	1	1		
preparator			0	1		This may be in addition to a collector.
preservative			0	1	FIMS	Contributes to dwc:preparations
previousidentifications	previousIdentifications	dwc	1	1		
previoustissueid	otherCatalogNumbers	dwc	0	1	FIMS	Contributes "tissue" to dwc:preparations if present
principalinvestigator			0	1	FIMS	
recordedby	recordedBy	dwc	1	1		
recordnumber	recordNumber	dwc	1	1		
references	references	dcterms	1	1		
reproductivecondition	reproductiveCondition	dwc	1	1		
rightsholder	rightsHolder	dcterms	1	1		
samplesizeunit	sampleSizeUnit	dwc	1	1		
samplesizevalue	sampleSizeValue	dwc	1	1		
samplingeffort	samplingEffort	dwc	1	1		
samplingprotocol	samplingProtocol	dwc	1	1		
scientificname	scientificName	dwc	1	1		
scientificnameauthorship	scientificNameAuthorship	dwc	1	1		
scientificnameid	scientificNameID	dwc	1	1		
sex	sex	dwc	1	1		
species	specificEpithet	dwc	0	1		
specificepithet	specificEpithet	dwc	1	1		
startdayofyear	startDayOfYear	dwc	1	1		
stateprovince	stateProvince	dwc	1	1		
subfamily			0	1		Can be mapped into dwc:higherClassification with other fields.
subgenus	subgenus	dwc	1	1		
subspecies	infraspecificEpithet	dwc	0	1		
substratum			0	1	FIMS	
taxonconceptid	taxonConceptID	dwc	1	1		
taxonid	taxonID	dwc	1	1		
taxonomicstatus	taxonomicStatus	dwc	1	1		
taxonrank	taxonRank	dwc	1	1		
taxonremarks	taxonRemarks	dwc	1	1		
tissuestorageid			0	1	FIMS	
type	type	dcterms	1	1		
typestatus	typeStatus	dwc	1	1		
verbatimcoordinates	verbatimCoordinates	dwc	1	1		
verbatimcoordinatesystem	verbatimCoordinateSystem	dwc	1	1		
verbatimdepth	verbatimDepth	dwc	1	1		
verbatimelevation	verbatimElevation	dwc	1	1		
verbatimeventdate	verbatimEventDate	dwc	1	1		
verbatimlatitude	verbatimLatitude	dwc	1	1		
verbatimlocality	verbatimLocality	dwc	1	1		
verbatimlongitude	verbatimLongitude	dwc	1	1		
verbatimsrs	verbatimSRS	dwc	1	1		
verbatimtaxonrank	verbatimTaxonRank	dwc	1	1		
vernacularname	vernacularName	dwc	1	1		
waterbody	waterBody	dwc	1	1		
weight	weight	dwcloud	0	1		dynamicProperties as weight, or MeasurementOrFact
wellid			0	1	FIMS	
wormsid	taxonID	dwc	0	1	FIMS	
year	year	dwc	1	1		
yearcollected	year	dwc	0	1		
yearidentified	yearIdentified	dwcloud	1	1		Contributes to dwc:dateIdentified
