verbatimReproductiveCondition	standardReproductiveCondition	standard	checked
HOW SEXED: GONADS. GONADS: TESTES 1.6 X 1.5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 1.7 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 1.8 X 4 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 1/2 ENLARGED.		0	0
HOW SEXED: GONADS. GONADS: TESTES 1/4 ENLARGED.		0	0
HOW SEXED: GONADS. GONADS: TESTES 1: 5 X 1 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 10 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 10 X 1.5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 10 X 15, WHITE.		0	0
HOW SEXED: GONADS. GONADS: TESTES 10 X 2 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 10 X 2.5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 10 X 2.5 MM. COM		0	0
HOW SEXED: GONADS. GONADS: TESTES 10 X 2.5 MM. COMMENT: ADULT.		0	0
HOW SEXED: GONADS. GONADS: TESTES 10 X 3 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 10 X 3.5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 10 X 4 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 10 X 4.5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 10 X 5 MM, DARK.		0	0
HOW SEXED: GONADS. GONADS: TESTES 10 X 5 MM, FLESH		0	0
HOW SEXED: GONADS. GONADS: TESTES 10 X 5 MM, FLESHY-CREAM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 10 X 5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 10 X 5.		0	0
HOW SEXED: GONADS. GONADS: TESTES 10 X 5.5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 10 X 6 MM, DIAGR		0	0
HOW SEXED: GONADS. GONADS: TESTES 10 X 6 MM, DIAGRAM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 10 X 6 MM, DRAWN		0	0
HOW SEXED: GONADS. GONADS: TESTES 10 X 6 MM, DRAWN.		0	0
HOW SEXED: GONADS. GONADS: TESTES 10 X 6 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 10 X 6, 5 X 6, C		0	0
HOW SEXED: GONADS. GONADS: TESTES 10 X 6, 5 X 6, CREAM-COLORED.		0	0
HOW SEXED: GONADS. GONADS: TESTES 10 X 7 & 7 X 4 M		0	0
HOW SEXED: GONADS. GONADS: TESTES 10 X 7 & 7 X 4 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 10 X 7 MM, DRAWN		0	0
HOW SEXED: GONADS. GONADS: TESTES 10 X 7 MM, DRAWN.		0	0
HOW SEXED: GONADS. GONADS: TESTES 10 X 7 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 10 X 8 MM, DRAWN		0	0
HOW SEXED: GONADS. GONADS: TESTES 10 X 8 MM, DRAWN.		0	0
HOW SEXED: GONADS. GONADS: TESTES 10 X 8 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 10 X 8.5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 10.5 X 4.5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 10.5 X 5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 10.5 X 6 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 10.5 X 7 MM		0	0
HOW SEXED: GONADS. GONADS: TESTES 10.5 X 8 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 10.5 X 8.5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 10.5 X 9.5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 11 X 10, 12 X 7 		0	0
HOW SEXED: GONADS. GONADS: TESTES 11 X 10, 12 X 7 MM, CREAM-COLORED.		0	0
HOW SEXED: GONADS. GONADS: TESTES 11 X 2 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 11 X 2.5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 11 X 3 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 11 X 3.5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 11 X 3.5 MM; LEF		0	0
HOW SEXED: GONADS. GONADS: TESTES 11 X 3.5 MM; LEFT: BLACK.		0	0
HOW SEXED: GONADS. GONADS: TESTES 11 X 4 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 11 X 4.5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 11 X 5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 11 X 5.5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 11 X 6 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 11 X 6.5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 11 X 7 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 11 X 8 MM		0	0
HOW SEXED: GONADS. GONADS: TESTES 11 X 8 MM, DRAWN		0	0
HOW SEXED: GONADS. GONADS: TESTES 11 X 8 MM, DRAWN.		0	0
HOW SEXED: GONADS. GONADS: TESTES 11 X 8 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 11 X 8,10 X 8, W		0	0
HOW SEXED: GONADS. GONADS: TESTES 11 X 8,10 X 8, WHITISH.		0	0
HOW SEXED: GONADS. GONADS: TESTES 11 X 8.5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 11 X 9 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 12 MM X 9 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 12 X 10 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 12 X 13 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 12 X 18 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 12 X 2.5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 12 X 3 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 12 X 4 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 12 X 5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 12 X 6 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 12 X 6, 9 X 8.5,		0	0
HOW SEXED: GONADS. GONADS: TESTES 12 X 6, 9 X 8.5, CREAM-COLORED.		0	0
HOW SEXED: GONADS. GONADS: TESTES 12 X 6.		0	0
HOW SEXED: GONADS. GONADS: TESTES 12 X 7 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 12 X 7, CREAM-CO		0	0
HOW SEXED: GONADS. GONADS: TESTES 12 X 7, CREAM-COLORED.		0	0
HOW SEXED: GONADS. GONADS: TESTES 12 X 8 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 12 X 9 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 12 X 9.5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 12.5 X 4.5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 12.5 X 7.		0	0
HOW SEXED: GONADS. GONADS: TESTES 12.5 X 8 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 13 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 13 X 10 MM, DRAW		0	0
HOW SEXED: GONADS. GONADS: TESTES 13 X 10 MM, DRAWN.		0	0
HOW SEXED: GONADS. GONADS: TESTES 13 X 10 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 13 X 10, 12 X 10		0	0
HOW SEXED: GONADS. GONADS: TESTES 13 X 10, 12 X 10 MM, CREAM-COLORED.		0	0
HOW SEXED: GONADS. GONADS: TESTES 13 X 10, 14 X 10		0	0
HOW SEXED: GONADS. GONADS: TESTES 13 X 10, 14 X 10,YELLOW FLESH.		0	0
HOW SEXED: GONADS. GONADS: TESTES 13 X 2.5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 13 X 3 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 13 X 3.5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 13 X 4 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 13 X 5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 13 X 5.5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 13 X 6 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 13 X 6.5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 13 X 6.7 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 13 X 7 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 13 X 7.		0	0
HOW SEXED: GONADS. GONADS: TESTES 13 X 8 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 13 X 9 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 13 X 9 X 3 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 13.5 X 6.5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 13.5 X 8.5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 13.5 X 9.5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 14 X 10 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 14 X 10.		0	0
HOW SEXED: GONADS. GONADS: TESTES 14 X 11 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 14 X 12 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 14 X 18 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 14 X 3.5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 14 X 5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 14 X 5.5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 14 X 6 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 14 X 7 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 14 X 7.5 GM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 14 X 8 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 14 X 9 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 14 X 9.5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 15 X 10 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 15 X 10.5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 15 X 4 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 15 X 5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 15 X 5.5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 15 X 6 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 15 X 7 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 15 X 7.5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 15 X 8 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 15 X 9 MM, DRAWN		0	0
HOW SEXED: GONADS. GONADS: TESTES 15 X 9 MM, DRAWN.		0	0
HOW SEXED: GONADS. GONADS: TESTES 15 X 9 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 15.5 X 10 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 16 X 11 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 16 X 7 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 16 X 8 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 16.5 X 6 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 17 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 17 X 10 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 17 X 11 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 17 X 7 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 17 X 8 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 17 X 9 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 18 X 10 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 18 X 10.		0	0
HOW SEXED: GONADS. GONADS: TESTES 18 X 11 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 18 X 12 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 18 X 13 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 18 X 3 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 18 X 7 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 18 X 9 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 19 X 10 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 19 X 11, 11 X 11		0	0
HOW SEXED: GONADS. GONADS: TESTES 19 X 11, 11 X 11 MM, FLESH.		0	0
HOW SEXED: GONADS. GONADS: TESTES 19 X 11, 11 X 11, FLESH.		0	0
HOW SEXED: GONADS. GONADS: TESTES 19 X 13 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 19 X 9 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 1X1 AND 1.5X1 MM		0	0
HOW SEXED: GONADS. GONADS: TESTES 1X1 AND 1.5X1 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 1X1MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2 1/2 X 1 1/2 MM		0	0
HOW SEXED: GONADS. GONADS: TESTES 2 1/2 X 1 1/2 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2 X 0.5 MM, NOT 		0	0
HOW SEXED: GONADS. GONADS: TESTES 2 X 0.5 MM, NOT DISTINCT.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2 X 0.5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2 X 1 MM, 1 WHIT		0	0
HOW SEXED: GONADS. GONADS: TESTES 2 X 1 MM, 1 WHITE,1 BLACK.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2 X 1 MM, BLACK.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2 X 1 MM, BLOOD-		0	0
HOW SEXED: GONADS. GONADS: TESTES 2 X 1 MM, BLOOD-ENGORGED.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2 X 1 MM, DRAWN.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2 X 1 MM, YELLOW		0	0
HOW SEXED: GONADS. GONADS: TESTES 2 X 1 MM, YELLOWISH.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2 X 1 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2 X 1 MM; 1 BLAC		0	0
HOW SEXED: GONADS. GONADS: TESTES 2 X 1 MM; 1 BLACK 1 BLACK & WHITE.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2 X 1 MM; LEFT: 		0	0
HOW SEXED: GONADS. GONADS: TESTES 2 X 1 MM; LEFT: BLACK.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2 X 1, 1 X 1 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2 X 1, FLESH.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2 X 1.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2 X 1.2 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2 X 1.2, CREAM-C		0	0
HOW SEXED: GONADS. GONADS: TESTES 2 X 1.2, CREAM-COLORED.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2 X 1.3 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2 X 1.3, WHITISH		0	0
HOW SEXED: GONADS. GONADS: TESTES 2 X 1.3, WHITISH.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2 X 1.5 MM, BLAC		0	0
HOW SEXED: GONADS. GONADS: TESTES 2 X 1.5 MM, BLACK.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2 X 1.5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2 X 1.5.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2 X 2 MM, BLACK.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2 X 2 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2 X 2, 3 X 3, WH		0	0
HOW SEXED: GONADS. GONADS: TESTES 2 X 2, 3 X 3, WHITISH.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2 X 2.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2 X 2.5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2 X 3 MM, WHITIS		0	0
HOW SEXED: GONADS. GONADS: TESTES 2 X 3 MM, WHITISH.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2 X 3 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2 X 4 MM, BLUE.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2 X 4 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2 X 4.5 MM, FLES		0	0
HOW SEXED: GONADS. GONADS: TESTES 2 X 4.5 MM, FLESH COLORED.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2 X 4.5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2 X 4.5, FLESH C		0	0
HOW SEXED: GONADS. GONADS: TESTES 2 X 4.5, FLESH COLORED.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2 X 5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2 X 6 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2.0 X 1.0 MM, BL		0	0
HOW SEXED: GONADS. GONADS: TESTES 2.0 X 1.0 MM, BLACK.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2.0 X 1.5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2.3 X 1, 0.5 X 2		0	0
HOW SEXED: GONADS. GONADS: TESTES 2.3 X 1, 0.5 X 2, BLACKISH.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2.3 X 2, 2 X 1.8		0	0
HOW SEXED: GONADS. GONADS: TESTES 2.3 X 2, 2 X 1.8, WHITE, VERMICULATED.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2.4 X 1.5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2.5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2.5 X 0.5 MM, DA		0	0
HOW SEXED: GONADS. GONADS: TESTES 2.5 X 0.5 MM, DARK.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2.5 X 0.5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2.5 X 1 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2.5 X 1.0.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2.5 X 1.5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2.5 X 1.5.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2.5 X 1.8 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2.5 X 12.5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2.5 X 2 MM, YELL		0	0
HOW SEXED: GONADS. GONADS: TESTES 2.5 X 2 MM, YELLOW.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2.5 X 2 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2.5 X 2 MM; FLES		0	0
HOW SEXED: GONADS. GONADS: TESTES 2.5 X 2 MM; FLESH COLORED.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2.5 X 2, CREAM-C		0	0
HOW SEXED: GONADS. GONADS: TESTES 2.5 X 2, CREAM-COLORED.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2.5 X 2.5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2.5 X 3.5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2.5 X 4 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 2.5 X 5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 20 X 10 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 20 X 12 MM. COMM		0	0
HOW SEXED: GONADS. GONADS: TESTES 20 X 12 MM. COMMENT: SEXED AT AVIARY.		0	0
HOW SEXED: GONADS. GONADS: TESTES 20 X 12.		0	0
HOW SEXED: GONADS. GONADS: TESTES 20 X 14 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 20 X 3 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 21 X 12 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 21 X 5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 22 X 14 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 22 X 17 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 23 X 9 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 24 X 12 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 25 X 11 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 25 X 9 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 26 X 12 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 27 X 14 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 28 X 15 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 3 MM X 2 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 3 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 3 X 0.5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 3 X 1 MM, CREAM-		0	0
HOW SEXED: GONADS. GONADS: TESTES 3 X 1 MM, CREAM-COLORED.		0	0
HOW SEXED: GONADS. GONADS: TESTES 3 X 1 MM, LEFT: 		0	0
HOW SEXED: GONADS. GONADS: TESTES 3 X 1 MM, LEFT: BLACK, RIGHT: PINK.		0	0
HOW SEXED: GONADS. GONADS: TESTES 3 X 1 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 3 X 1, CREAM-COL		0	0
HOW SEXED: GONADS. GONADS: TESTES 3 X 1, CREAM-COLORED.		0	0
HOW SEXED: GONADS. GONADS: TESTES 3 X 1.5 MM, BLAC		0	0
HOW SEXED: GONADS. GONADS: TESTES 3 X 1.5 MM, BLACK.		0	0
HOW SEXED: GONADS. GONADS: TESTES 3 X 1.5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 3 X 1.5.		0	0
HOW SEXED: GONADS. GONADS: TESTES 3 X 15 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 3 X 2 MM, BLACK.		0	0
HOW SEXED: GONADS. GONADS: TESTES 3 X 2 MM, BOTH B		0	0
HOW SEXED: GONADS. GONADS: TESTES 3 X 2 MM, BOTH BLACK.		0	0
HOW SEXED: GONADS. GONADS: TESTES 3 X 2 MM, DARK G		0	0
HOW SEXED: GONADS. GONADS: TESTES 3 X 2 MM, DARK GRAY.		0	0
HOW SEXED: GONADS. GONADS: TESTES 3 X 2 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 3 X 2 MM. COMMEN		0	0
HOW SEXED: GONADS. GONADS: TESTES 3 X 2 MM. COMMENT: NO BIB.		0	0
HOW SEXED: GONADS. GONADS: TESTES 3 X 2 MM; BLACK,		0	0
HOW SEXED: GONADS. GONADS: TESTES 3 X 2 MM; BLACK, FLESH WHITE.		0	0
HOW SEXED: GONADS. GONADS: TESTES 3 X 2 MM; LEFT: 		0	0
HOW SEXED: GONADS. GONADS: TESTES 3 X 2 MM; LEFT: BLACK.		0	0
HOW SEXED: GONADS. GONADS: TESTES 3 X 2, 1.7 X 1.5		0	0
HOW SEXED: GONADS. GONADS: TESTES 3 X 2, 1.7 X 1.5, WHITISH.		0	0
HOW SEXED: GONADS. GONADS: TESTES 3 X 2, 3 X 2; WH		0	0
HOW SEXED: GONADS. GONADS: TESTES 3 X 2, 3 X 2; WHITE.		0	0
HOW SEXED: GONADS. GONADS: TESTES 3 X 2.		0	0
HOW SEXED: GONADS. GONADS: TESTES 3 X 2.5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 3 X 3 & 2.5 X 4 		0	0
HOW SEXED: GONADS. GONADS: TESTES 3 X 3 & 2.5 X 4 CREAM-FLESH.		0	0
HOW SEXED: GONADS. GONADS: TESTES 3 X 3 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 3 X 3, 2.5 X 4, 		0	0
HOW SEXED: GONADS. GONADS: TESTES 3 X 3, 2.5 X 4, CREAM-FLESH.		0	0
HOW SEXED: GONADS. GONADS: TESTES 3 X 3.		0	0
HOW SEXED: GONADS. GONADS: TESTES 3 X 3.5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 3 X 4 & 3 X 2.5,		0	0
HOW SEXED: GONADS. GONADS: TESTES 3 X 4 & 3 X 2.5, WHITISH.		0	0
HOW SEXED: GONADS. GONADS: TESTES 3 X 4 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 3 X 4, 3 X 2.5, 		0	0
HOW SEXED: GONADS. GONADS: TESTES 3 X 4, 3 X 2.5, WHITISH.		0	0
HOW SEXED: GONADS. GONADS: TESTES 3 X 5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 3 X 5.5 MM, FLES		0	0
HOW SEXED: GONADS. GONADS: TESTES 3 X 5.5 MM, FLESH-CREAM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 3 X 6 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 3 X CIRCA 0.5 MM		0	0
HOW SEXED: GONADS. GONADS: TESTES 3 X CIRCA 0.5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 3.2 X 1.9 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 3.5 X 1 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 3.5 X 1.5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 3.5 X 1.5, 2.5 X		0	0
HOW SEXED: GONADS. GONADS: TESTES 3.5 X 1.5, 2.5 X 1, YELLOWISH.		0	0
HOW SEXED: GONADS. GONADS: TESTES 3.5 X 2 MM, YELL		0	0
HOW SEXED: GONADS. GONADS: TESTES 3.5 X 2 MM, YELLOWISH.		0	0
HOW SEXED: GONADS. GONADS: TESTES 3.5 X 2 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 3.5 X 2.5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 3.5 X 3 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 3.5 X 3 MM; DRAW		0	0
HOW SEXED: GONADS. GONADS: TESTES 3.5 X 3 MM; DRAWN.		0	0
HOW SEXED: GONADS. GONADS: TESTES 3.5 X 3.5 GM. CO		0	0
HOW SEXED: GONADS. GONADS: TESTES 3.5 X 3.5 GM. COMMENT: SEXED AT AVIARY.		0	0
HOW SEXED: GONADS. GONADS: TESTES 3.5 X 3.5 MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 3.5 X 3.MM.		0	0
HOW SEXED: GONADS. GONADS: TESTES 3.5 X 4.5, 3 X 4		0	0
HOW SEXED: GONADS. GONADS: TESTES 3.5 X 4.5, 3 X 4.2, DARK GRAY, REGRESSED.		0	0
HOW SEXED: GONADS. GONADS: TESTES 3.5 X 4.5, WHITI		0	0
HOW SEXED: GONADS. GONADS: TESTES 3.5 X 4.5, WHITISH.		0	0
HOW SEXED: GONADS. GONADS: TESTES 3.5 X 5 MM, WHIT		0	0
HOW SEXED: GONADS. GONADS: TESTES 3.5 X 5 MM, WHITE.		0	0
HOW SEXED: GONADS. GONADS: TESTES 3.5 X 5 MM, WHITISH.		0	0
HOW SEXED: GONADS. GONADS: TESTES 3.5 X 5.5, WHITE		0	0
HOW SEXED: GONADS. GONADS: TESTES 3.5 X 5.5, WHITE.		0	0
HOW SEXED: GONADS. GONADS: TESTES 3.5, 5.0 MM.		0	0
