verbatimReproductiveCondition	standardReproductiveCondition	standard	checked
3 neonateS; mother of ROMM 15755, 15756, 15757		0	0
3 ova, lgst ovum= 1.4mm		0	0
3 pac scars		0	0
3 pac scars: (2rt & 1lf)		0	0
3 pac scars: 1(L)&2(R)		0	0
3 pac. scars:1(R)&2(L)		0	0
3 pec, 3 ing mammae		0	0
3 plac scar		0	0
3 plac scar 2L 1R		0	0
3 pouch young		0	0
3 scars		0	0
3 scars (lact)		0	0
3 scars, lg mamm		0	0
3 scars: 1lf, 2rt		0	0
3 scars: 3lf		0	0
3 scars: left		0	0
3 scars:2(L)&1(R)		0	0
3 unshelled eggs 5x9mm		0	0
3 very small embryos;		0	0
3 X 0; cr = 1 mm		0	0
3 X 16mm		0	0
3 X 2, CR = 10mm		0	0
3 x 2; breeding		0	0
3 X 22 mm		0	0
3 X 3		0	0
3 young		0	0
3 young; CR-17		0	0
3.3 mm ; no sc. Emb < 1mm		0	0
3.5 By 3.0 mm		0	0
3-17mm embryos;		0	0
32 ova; largest 23X18		0	0
347-114-45-11		0	0
3R, 1L, CR (crown-rump length) =6		0	0
3R, 2L embryos		0	0
3R, 2L scars; enlarged nipples		0	0
3R, 2L uterine scars		0	0
3R, 2L, CR (crown-rump length) = 6		0	0
3R, 2L, CR (crown-rump length) =11		0	0
3R, 2L, CR (crown-rump length) =20		0	0
3R, 2L, CR (crown-rump length) =8		0	0
3R, 2L, placental scars		0	0
3R, 2L; CR (crown-rump length) = 10 (approx)		0	0
3R, 3L embryos		0	0
3R, 3L, CR (crown-rump length) =22		0	0
3R, 3L, CR (crown-rump length) =9		0	0
3R, 3L; CR (crown-rump length) = 12		0	0
3R, 4L embryo		0	0
3R, 4L plac scar		0	0
3R, 4L placental scars		0	0
3R, 5L, CR (crown-rump length) = 4		0	0
3x4; CR=2mm		0	0
4 emb		0	0
4 emb 1L 3 R; CR-13		0	0
4 emb 1L 3R; lactating		0	0
4 emb 2L 2R; CR-1		0	0
4 emb 2L 2R; CR-3		0	0
4 emb 2L 2R; CR-6		0	0
4 emb 2R 2L; CR-3		0	0
4 emb 2R 2L; CR-4.5		0	0
4 emb 3L 1R; CR-1		0	0
4 emb X 3 mm		0	0
4 emb. (18 mm) 2 L, 2 R		0	0
4 emb. (7 mm.)		0	0
4 emb. CR = 33 mm		0	0
4 emb; CR-11		0	0
4 emb; CR-12		0	0
4 emb; CR-17		0	0
4 emb; CR-2		0	0
4 emb; CR-4X2		0	0
4 emb; CR-7		0	0
4 embryo; not lact.		0	0
4 embryos		0	0
4 embryos = 11 mm		0	0
4 embryos near term;		0	0
4 embryos x 12		0	0
4 embryos x 2		0	0
4 embryos, 10mm crown to rump		0	0
4 embryos, 11mm crown to rump		0	0
4 embryos, 16 mm		0	0
4 embryos, 17mm		0	0
4 embryos, 21 mm		0	0
4 embryos, 22mm		0	0
4 embryos, 22mm head to rump		0	0
4 embryos, 30mm		0	0
4 embryos, 6-7mm		0	0
4 embryos, 8mm, FPG-18 days		0	0
4 embryos, 8mm;		0	0
4 embryos, very small;		0	0
4 embryos;		0	0
4 embs		0	0
4 embs, 2R, 2L, 3 mm		0	0
4 embs, lact		0	0
4 embs.		0	0
4 embs., 10 mm		0	0
4 embs., 2 R, 2 L, 5 mm		0	0
4 embs., 2L & 2R		0	0
4 embs., 2R + 2L		0	0
4 embs/1 R/3 L/cr < 1 mm		0	0
4 embs/1 R/3 L/cr = 1 mm		0	0
4 embs/1L/3R/cr=25mm		0	0
4 embs/1L+3R/cr = X 20mm		0	0
4 embs/1L+3R/cr X 19 mm		0	0
4 embs/1R + 3L		0	0
4 embs/1R/3L		0	0
4 embs/1R/3L/cr=2mm		0	0
4 embs/2 R/2 L		0	0
4 embs/2 R/2 L/cr < 1 mm		0	0
4 embs/2 R/2 L/cr < 2 mm		0	0
4 embs/2 R/2 L/cr = 11 mm		0	0
4 embs/2 R/2 L/cr = 17 mm		0	0
4 embs/2L/2R/CR=28mm		0	0
4 embs/2L+2rt/cr = 10 mm		0	0
4 embs/2R + 2L/cr = X 8mm		0	0
4 embs/2R X 2L/cr = X 8mm		0	0
