"verbatimTypeStatus","standardTypeStatus","uri","checked","opinionBy","opinionDate"
"HOLOTYPE OF SPOROPHILA HAPLOCHROMA, TODD, W. E. C. 1912. DESCRIPTIONS OF SEVENTEEN NEW NEOTROPICAL BIRDS. ANNALS CARNEGIE MUSEUM, 198-214. PAGE 200, PUBLISHED 20 MAY 1912.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF SPOROPHILA HYPOCHROMA, TODD, W. E. C. 1915. PRELIMINARY DIAGNOSES OF APPARENTLY NEW SOUTH AMERICAN BIRDS. PROC. BIOL. SOC. WASH., 79-82. PAGE 79, PUBLISHED 13 APRIL 1915.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF SPOROPHILA LINEOLA RESTRICTA, TODD, W. E. C. 1917. NEW GENERA, SPECIES, AND SUBSPECIES OF SOUTH AMERICAN BIRDS. PROC. BIOL. SOC. WASH., 127-130. PAGE 128, PUBLISHED 27 JULY 1917.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF STACHYRIS CAPITALIS ISABELAE, PARKES, K. C. 1963. A NEW SUBSPECIES OF TREE-BABBLER FROM THE PHILIPPINES. AUK, 543-544. PAGE 543, PUBLISHED 31 OCTOBER 1963.","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Steatomys krebsi angolensis (Hill & Carter)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Steatomys pratensis bocagei (The Coryndon Museum)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Stenomys richardsoni ((Tate))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Stenomys vandeuseni ((Taylor & Calaby))","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF STORERIA DEKAYI TEXANA, TRAPIDO, 1944, AMER. MUS., 7:195","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF STORERIA DEKAYI WRIGHTORUM","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF STREPTOPROCNE ZONARIS SUBTROPICALIS, PARKES, K. C. 1994. TAXONOMIC NOTES ON THE WHITE-COLLARED SWIFT (STREPTOPROCNE ZONARIS). AVOCETTA, 95-100. PAGE 99, PUBLISHED 1994.","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Strigocuscus celebensis feileri ((Groves))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Strigocuscus pelegensis mendeni ((Feiler))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Strigocuscus pelengensis pelengensis (Tate)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Strix cayelii (Hartert, 1900)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Sturnira lilium zygomaticus (Jones & Phillips, 1976)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Sturnira ludovici (Anthony, 1924)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Sturnira ludovici ludovici (Goodwin)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Sturnira tildae","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Stylodipus telum andrewsi (Allen)","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF SUBLEGATUS GLABER OBSCURIOR, TODD, W. E. C. 1920. DESCRIPTIONS OF APPARENTLY NEW SOUTH AMERICAN BIRDS. PROC. BIOL. SOC. WASH., 71-76. PAGE 72, PUBLISHED 30 DECEMBER 1920.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF SULA NEBOUXII EXCISA, TODD, W. E. C. 1948. A NEW BOOBY AND A NEW IBIS FROM SOUTH AMERICA. PROC. BIOL. SOC. WASH., 49-50. PAGE 49, PUBLISHED 30 APRIL 1948.","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Suncus murinus ((Linneaus))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Sylvia hortensis cyrenaicae (Svensson, 2012)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Sylvicapra grimmia steinhardti (Zukowsky)","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF SYLVIETTA LEUCOPHRYS ARILEUCA, PARKES, K. C. 1987. TAXONOMIC NOTES ON SOME AFRICAN WARBLERS (AVES: SYLVIINAE). ANNALS CARNEGIE MUSEUM, 231-243. PAGE 242, PUBLISHED 28 AUGUST 1987.","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Sylvilagus aquaticus aquaticus","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Sylvilagus aquaticus aquaticus ((Bachman))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Sylvilagus audubonii","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Sylvilagus audubonii confinis ((Allen))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Sylvilagus audubonii parvulus ((Allen))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Sylvilagus bachmani cerrosensis ((Allen))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Sylvilagus brasiliensis chillae (Anthony)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Sylvilagus brasiliensis consobrinus (Anthony)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Sylvilagus brasiliensis fulvescens (Allen)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Sylvilagus brasiliensis gabbi ((Allen))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Sylvilagus brasiliensis kelloggi (Anthony)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Sylvilagus brasiliensis salentus (Allen)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Sylvilagus brasiliensis surdaster (The Coryndon Museum)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Sylvilagus cunicularis insolitus ((Allen))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Sylvilagus floridanus aztecus","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Sylvilagus floridanus aztecus ((Allen))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Sylvilagus floridanus chapmani ((Allen))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Sylvilagus floridanus floridanus ((Allen))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Sylvilagus floridanus holzneri ((Mearns))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Sylvilagus floridanus mearnsi","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Sylvilagus floridanus mearnsi ((Allen))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Sylvilagus floridanus russatus ((Allen))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Sylvilagus floridanus superciliaris ((Allen))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Sylvilagus nuttallii grangeri ((Allen))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Sylvilagus nuttallii pinetis ((Allen))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Sylvisorex oriundus","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF SYMPLECTES AMAUROCEPHALUS ANALOGUS, TODD, W. E. C. 1932. A NEW WEAVER-BIRD FROM CAMEROUN. PROC. BIOL. SOC. WASH., 221-222. PAGE 221, PUBLISHED 26 NOVEMBER 1932.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF SYNALLAXIS ALBESCENS GRISEONOTA, TODD, W. E. C. 1948. CRITICAL REMARKS ON THE OVEN-BIRDS. ANNALS CARNEGIE MUSEUM, 33-43. PAGE 37, PUBLISHED 15 OCTOBER 1948.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF SYNALLAXIS ALBESCENS LITTORALIS, TODD, W. E. C. 1948. CRITICAL REMARKS ON THE OVEN-BIRDS. ANNALS CARNEGIE MUSEUM, 33-43. PAGE 36, PUBLISHED 15 OCTOBER 1948.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF SYNALLAXIS ALBESCENS PERPALLIDA, TODD, W. E. C. 1916. PRELIMINARY DIAGNOSES OF FIFTEEN APPARENTLY NEW NEOTROPICAL BIRDS. PROC. BIOL. SOC. WASH., 95-98. PAGE 97, PUBLISHED 6 JUNE 1916.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF SYNALLAXIS CABANISI OBSCURIOR, TODD, W. E. C. 1948. CRITICAL REMARKS ON THE OVEN-BIRDS. ANNALS CARNEGIE MUSEUM, 33-43. PAGE 37, PUBLISHED 15 OCTOBER 1948.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF SYNALLAXIS CERTHIOLA, TODD, W. E. C. 1916. PRELIMINARY DIAGNOSES OF FIFTEEN APPARENTLY NEW NEOTROPICAL BIRDS. PROC. BIOL. SOC. WASH., 95-98. PAGE 97, PUBLISHED 6 JUNE 1916.","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Synaptomys borealis chapmani (Allen)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Synaptomys borealis dalli (Merriam)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Syntheosciurus brochus poasensis ((Goodwin))","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF SYRRHOPHUS DENNISI","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF SYRRHOPHUS MODESTUS PALLIDUS","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF SYRRHOPHUS TERETISTES","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of T.p. rafaelensis","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Tadarida brasiliensis ((Geoffroy))","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF TAENIOTRICCUS KLAGESI, TODD, W. E. C. 1925. SIXTEEN NEW BIRDS FROM BRAZIL AND GUIANA. PROC. BIOL. SOC. WASH., 91-100. PAGE 94, PUBLISHED 15 JULY 1925.","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Taeromys arcuatus ((Tate & Archbold))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Taeromys callitrichus microbullatus ((Tate & Archbold))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Tamandua mexicana chiriquensis (Allen)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Tamandua mexicana instabilis (Allen)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Tamandua mexicana mexicana (Allen)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Tamandua mexicana punensis (Allen)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Tamandua tetradactyla straminea ((Cope))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Tamias amoenus affinis (Allen)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Tamias amoenus amoenus ((Allen))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Tamias dorsalis dorsalis ((Baird))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Tamias durangae ((Allen))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Tamias merriami merriami (Allen)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Tamias merriami pricei (Allen)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Tamias minimus consobrinus ((Allen))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Tamias quadrivittatus affinis","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Tamias sibiricus albogularis ((Allen))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Tamias speciosus frater (Allen)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Tamias striatus griseus","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Tamias umbrinus adsitus ((Allen))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Tamiasciurus douglasii albolimbatus ((Allen))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Tamiasciurus hudsonicus columbiensis","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Tamiasciurus hudsonicus dakotensis","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Tamiasciurus hudsonicus dakotensis ((Allen))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Tamiasciurus hudsonicus grahamensis ((Allen))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Tamiasciurus hudsonicus lanuginosus ((Bachman))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Tamiasciurus hudsonicus minnesota ((Allen))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Tamiasciurus hudsonicus streatori ((Allen))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Tamiops maritimus hainanus (Allen)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Tamiops maritimus maritimus ((Bonhote))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Tamiops mcclellandi collinus","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Tanagra portoricensis Bryant","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF TANAGRA RUFIVENTRIS COLORATA, TODD, W. E. C. 1913. PRELIMINARY DIAGNOSES OF APPARENTLY NEW BIRDS FROM TROPICAL AMERICA. PROC. BIOL. SOC. WASH., 169-174. PAGE 169, PUBLISHED 8 AUGUST 1913.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF TANGARA BOLIVIANA LATERALIS, TODD, W. E. C. 1922. NEW FORMS OF FINCHES AND TANAGERS FROM TROPICAL AMERICA. PROC. BIOL. SOC. WASH., 89-94. PAGE 91, PUBLISHED 12 JULY 1922.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF TANGARA CAYANA FULVESCENS, TODD, W. E. C. 1922. NEW FORMS OF FINCHES AND TANAGERS FROM TROPICAL AMERICA. PROC. BIOL. SOC. WASH., 89-94. PAGE 92, PUBLISHED 12 JULY 1922.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF TANGARA CHRYSOTIS COCHABAMBAE, TODD, W. E. C. 1924. DESCRIPTIONS OF EIGHT NEW NEOTROPICAL BIRDS **INCORRECTLY LISTED IN TYPE CAT AS YUNGAS DE COCHABAMBA**. PROC. BIOL. SOC. WASH., 121-124. PAGE 121, PUBLISHED 8 JULY 1924.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF TANGARA GUTTATA EUSTICTA, TODD, W. E. C. 1912. DESCRIPTIONS OF SEVENTEEN NEW NEOTROPICAL BIRDS. ANNALS CARNEGIE MUSEUM, 198-214. PAGE 202, PUBLISHED 20 MAY 1912.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF TANGARA GUTTATA TRINITATIS, TODD, W. E. C. 1912. DESCRIPTIONS OF SEVENTEEN NEW NEOTROPICAL BIRDS. ANNALS CARNEGIE MUSEUM, 198-214. PAGE 203, PUBLISHED 20 MAY 1912.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF TANTILLA BAIRDI","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF TANTILLA CORONADOI","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF TANTILLA GRACILIS","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF TANTILLA MORGANI","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF TANTILLA PETERSI","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Taphozous troughtoni","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Tapirus terrestris terrestris (Linneaus)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Tateomys rhinogradoides","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Tatera brantsii humpatensis (Hill & Carter)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Tatera robusta robusta ((Cretzschmar))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Tatera valida valida ((Bocage))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Taterillus emini ((The Coryndon Museum))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Tayassu pecari (Link)","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF TELMATOBIUS RIMAC","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF TERENURA HUMERALIS TRANSFLUVIALIS, TODD, W. E. C. 1927. NEW GNATEATERS AND ANTBIRDS FROM TROPICAL AMERICA, WITH A REVISION OF THE GENUS MYRMECIZA AND ITS ALLIES. PROC. BIOL. SOC. WASH., 149-178. PAGE 160, PUBLISHED 2 DECEMBER 1927.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF TERPSIPHONE RUFOCINEREA BANNERMANI, CHAPIN, J. P. 1948. TWO NEW PASSERINE BIRDS FROM ANGOLA. ANNALS CARNEGIE MUSEUM, 1-4. PAGE 3, PUBLISHED 26 FEBRUARY 1948.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF THAMNODYNASTES CEIBAE","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF THAMNODYNASTES LANEI","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Thamnomys kempi major","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Thamnomys venustus (The Coryndon Museum)","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF THAMNOPHILUS AMAZONICUS PARAENSIS, TODD, W. E. C. 1927. NEW GNATEATERS AND ANTBIRDS FROM TROPICAL AMERICA, WITH A REVISION OF THE GENUS MYRMECIZA AND ITS ALLIES. PROC. BIOL. SOC. WASH., 149-178. PAGE 154, PUBLISHED 2 DECEMBER 1927.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF THAMNOPHILUS DOLIATUS HETEROLEUCUS, TODD, W. E. C. 1913. PRELIMINARY DIAGNOSES OF APPARENTLY NEW BIRDS FROM TROPICAL AMERICA. PROC. BIOL. SOC. WASH., 169-174. PAGE 172, PUBLISHED 8 AUGUST 1913.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF THAMNOPHILUS INCERTUS ATRICEPS, TODD, W. E. C. 1927. NEW GNATEATERS AND ANTBIRDS FROM TROPICAL AMERICA, WITH A REVISION OF THE GENUS MYRMECIZA AND ITS ALLIES. PROC. BIOL. SOC. WASH., 149-178. PAGE 152, PUBLISHED 2 DECEMBER 1927.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF THAMNOPHILUS MULTISTRIATUS BRACHYURUS, TODD, W. E. C. 1927. NEW GNATEATERS AND ANTBIRDS FROM TROPICAL AMERICA, WITH A REVISION OF THE GENUS MYRMECIZA AND ITS ALLIES. PROC. BIOL. SOC. WASH., 149-178. PAGE 151, PUBLISHED 2 DECEMBER 1927.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF THAMNOPHILUS MURINUS CANIPENNIS, TODD, W. E. C. 1927. NEW GNATEATERS AND ANTBIRDS FROM TROPICAL AMERICA, WITH A REVISION OF THE GENUS MYRMECIZA AND ITS ALLIES. PROC. BIOL. SOC. WASH., 149-178. PAGE 153, PUBLISHED 2 DECEMBER 1927.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF THAMNOPHILUS MURINUS CAYENNENSIS, TODD, W. E. C. 1927. NEW GNATEATERS AND ANTBIRDS FROM TROPICAL AMERICA, WITH A REVISION OF THE GENUS MYRMECIZA AND ITS ALLIES. PROC. BIOL. SOC. WASH., 149-178. PAGE 153, PUBLISHED 2 DECEMBER 1927.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF THAMNOPHILUS NIGRICEPS MAGDALENAE, TODD, W. E. C. 1927. NEW GNATEATERS AND ANTBIRDS FROM TROPICAL AMERICA, WITH A REVISION OF THE GENUS MYRMECIZA AND ITS ALLIES. PROC. BIOL. SOC. WASH., 149-178. PAGE 152, PUBLISHED 2 DECEMBER 1927.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF THAMNOPHILUS PUNCTATUS SATURATUS, TODD, W. E. C. 1927. NEW GNATEATERS AND ANTBIRDS FROM TROPICAL AMERICA, WITH A REVISION OF THE GENUS MYRMECIZA AND ITS ALLIES. PROC. BIOL. SOC. WASH., 149-178. PAGE 153, PUBLISHED 2 DECEMBER 1927.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF THAMNOPHIS MENDAX","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF THAMNOPHIS NIGRONUCHALIS","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF THAMNOPHIS RUTHVENI","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF THERISTICUS CAUDATUS HYPERORIUS, TODD, W. E. C. 1948. A NEW BOOBY AND A NEW IBIS FROM SOUTH AMERICA. PROC. BIOL. SOC. WASH., 49-50. PAGE 50, PUBLISHED 30 APRIL 1948.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF THLYPOPSIS FULVICEPS INTENSA, TODD, W. E. C. 1917. NEW GENERA, SPECIES, AND SUBSPECIES OF SOUTH AMERICAN BIRDS. PROC. BIOL. SOC. WASH., 127-130. PAGE 128, PUBLISHED 27 JULY 1917.","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Thomasomys aureus aureus ((Tomes))","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Thomasomys aureus popayanus (Allen)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Thomasomys bombycinus","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Thomasomys cinereiventer cinereiventer (Allen)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Thomasomys cinereiventer contradictus","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Thomasomys cinereiventer dispar","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Thomasomys cinereiventer erro (Anthony)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Thomasomys cinereus caudivarius (Anthony)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Thomasomys daphne australis","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Thomasomys gracilis cinnameus (Anthony)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Thomasomys gracilis hudsoni (Anthony)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Thomasomys ladewi","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Thomasomys oreas","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Thomasomys pyrrhonotus auricularis (Anthony)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Thomasomys rhoadsi fumeus","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Thomasomys silvestris","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Thomomys aureus aureus","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Thomomys bottae aureus (Allen)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Thomomys bottae cervinus (Allen)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Thomomys bottae martirensis (Allen)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Thomomys bottae toltecus (Allen)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Thomomys talpoides fossor","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Thomomys talpoides fossor (Allen)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Thomomys talpoides rufescens (Wied-Neuwied)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Thomomys umbrinus evexus","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF THRAUPIS PALMARUM ATRIPENNIS, TODD, W. E. C. 1922. NEW FORMS OF FINCHES AND TANAGERS FROM TROPICAL AMERICA. PROC. BIOL. SOC. WASH., 89-94. PAGE 92, PUBLISHED 12 JULY 1922.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF THRIPOPHAGA FUSCICEPS OBIDENSIS, TODD, W. E. C. 1925. DESCRIPTIONS OF NEW FURNARIIDAE AND DENDROCOLAPTIDAE. PROC. BIOL. SOC. WASH., 79-82. PAGE 80, PUBLISHED 26 MAY 1925.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF THRYOMANES BEWICKI NICEAE, SUTTON, G. M. 1934. A NEW BEWICK'S WREN FROM THE WESTERN PANHANDLE OF OKLAHOMA. AUK, 217-220. PAGE 217, PUBLISHED APRIL 1934.","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Thryomanes bewickii atricauda","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Thryomanes bewickii magdalensis","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF THRYOPHILUS GRISEUS, TODD, W. E. C. 1925. SIXTEEN NEW BIRDS FROM BRAZIL AND GUIANA. PROC. BIOL. SOC. WASH., 91-100. PAGE 91, PUBLISHED 15 JULY 1925.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF THRYOTHORUS CERROENSIS, ANTHONY, A. W. 1897. NEW BIRDS FROM THE ISLANDS AND PENINSULA OF LOWER CALIFORNIA. AUK, 164-168. PAGE 166, PUBLISHED APRIL 1897.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF THRYOTHORUS LEUCOPHRYS, ANTHONY, A. W. 1895. A NEW SPECIES OF THRYOTHORUS FROM THE PACIFIC COAST **COLLECTION DATE MISSING FROM TYPE CATALOGUE**. AUK, 51-52. PAGE 52, PUBLISHED JANUARY 1895. BECAME A SUBSPECIES HOLOTYPE-SEE REMARKS","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF THRYOTHORUS RUFALBUS SYLVUS, PHILLIPS, A. R. 1986. KNOWN BIRDS OF NORTH & MIDDLE AMERICA. 164. PAGE 164, PUBLISHED 1986.","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype of Thylogale stigmatica oriomo ((Tate & Archbold))","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF TITYRA SEMIFASCIATA HETEROMELAENA, TODD, W. E. C. 1916. PRELIMINARY DIAGNOSES OF FIFTEEN APPARENTLY NEW NEOTROPICAL BIRDS. PROC. BIOL. SOC. WASH., 95-98. PAGE 96, PUBLISHED 6 JUNE 1916.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF TODIROSTRUM LATIROSTRE AUSTRORIPARIUM, TODD, W. E. C. 1952. NEW TYRANT FLYCATCHERS FROM SOUTH AMERICA. ANNALS CARNEGIE MUSEUM, 291-304. PAGE 298, PUBLISHED 15 FEBRUARY 1952.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF TODIROSTRUM LATIROSTRE DIFFICILE, TODD, W. E. C. 1937. NEW SOUTH AMERICAN BIRDS. ANNALS CARNEGIE MUSEUM, 243-255. PAGE 254, PUBLISHED 16 NOVEMBER 1937.","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF TODIROSTRUM SCHISTACEICEPS GRISEOLUM, TODD, W. E. C. 1913. PRELIMINARY DIAGNOSES OF APPARENTLY NEW BIRDS FROM TROPICAL AMERICA **INCORRECTLY LISTED AS P.169 IN TYPE CAT**. PROC. BIOL. SOC. WASH., 169-174. PAGE 170, PUBLISHED 8 AUGUST 1913.","holotype",,1,"John Wieczorek","2017-08-25"
