"verbatimTypeStatus","standardTypeStatus","uri","checked","opinionBy","opinionDate"
"ex Paratype","paratype",,1,"John Wieczorek","2017-08-25"
"FHOLOTYPE","holotype",,1,"John Wieczorek","2017-08-25"
"FIG",,,1,"John Wieczorek","2017-08-25"
"Figured",,,1,"John Wieczorek","2017-08-25"
"figured and cited",,,1,"John Wieczorek","2017-08-25"
"figured and cited (8946A)",,,1,"John Wieczorek","2017-08-25"
"Figured, Genetic Voucher",,,1,"John Wieczorek","2018-04-29"
"figured, hypotype","hypotype",,1,"John Wieczorek","2017-08-25"
"Figured; Cited",,,1,"John Wieczorek","2017-08-25"
"Figured; Figured",,,1,"John Wieczorek","2017-08-25"
"from Type Locality","topotype",,1,"John Wieczorek","2017-08-25"
"G",,,1,"John Wieczorek","2017-08-25"
"G.incrassatus and genus  Sphoerocephalus",,,1,"John Wieczorek","2017-08-25"
"Genetic Voucher",,,1,"John Wieczorek","2018-04-26"
"Genotype, Holotype","holotype",,1,"John Wieczorek","2017-08-25"
"H","holotype",,1,"John Wieczorek","2017-08-25"
"HOLO","holotype",,1,"John Wieczorek","2017-08-25"
"HOLO*","holotype",,1,"John Wieczorek","2017-08-25"
"HOLO/PARATY","holotype | paratype",,1,"John Wieczorek","2017-08-25"
"holotip","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTIPO","holotype",,1,"John Wieczorek","2017-08-25"
"Holotye of Dryobates villosus scrippsae","holotype",,1,"John Wieczorek","2017-08-25"
"holotype","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype (at USNM)","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype (MS)","holotype",,1,"John Wieczorek","2017-08-25"
"holotype | lectotype","holotype | lectotype",,1,"John Wieczorek","2018-05-22"
"holotype | lectotype | syntype","holotype | lectotype | syntype",,1,"John Wieczorek","2018-05-22"
"holotype | neotype","holotype | neotype",,1,"John Wieczorek","2018-05-22"
"holotype | syntype","holotype | syntype",,1,"John Wieczorek","2018-05-22"
"Holotype + Paratype","holotype | paratype",,1,"David Bloom","2018-02-07"
"holotype fragment","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE HYLA RIVEROI, COCHRAN AND GOIN, 1970, U.S. NATL. MUS. BULL., 288:284","holotype",,1,"John Wieczorek","2017-08-25"
"Holotype Limnotragus selousi","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE NOTES","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF  LEPIDODACTYLUS NAUJANENSIS, TAYLOR, 1919, PHILIPPINE JOUR. SCI., 14:113","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF  TYPHLOPS DENDROPHIS, TAYLOR, 1922, PHILIPPINE BUR. SCI., PUBL. 16:60","holotype",,1,"John Wieczorek","2017-08-25"
"HOLOTYPE OF ABRONIA ANZUETOI","holotype",,1,"John Wieczorek","2017-08-25"
