"Waterbody"
"Mobile River"
"Mobite River"
"Mohawk River"
"Mohawk River, Hudson River"
"Molo River"
"Molucca Sea"
"Mona Lake"
"Mona Passage"
"Monocacy River, Potomac River"
"Monongahela River"
"Monterey Bay"
"Moroto"
"Moses Lake"
"Mud Lake"
"Mud River, Green River"
"Mühlenteich"
"Mullett Lake"
"Mullica River"
"Murderkill River"
"Murphy Lake"
"Muscatatuck River"
"Musconetcong River"
"Muscongus Bay"
"Nanticoke River"
"Nantucket Sound"
"Nappi Creek"
"Nares Strait"
"Narragansett Bay"
"Narrow Lake"
"Natalbany River"
"Navasota River"
"Navidad River"
"Neches River"
"Nelson River"
"Neosho River"
"Neuse River"
"Neversink Drainage"
"New River"
"New River, Gauley River"
"New River, Ohio River"
"New River, Upper Kanawha River"
"New York Bay"
"Ngarenanyuki"
"Ngounié River"
"Niagara River"
"Nile River"
"Ninilchik River"
"Ninnescah River"
"Niobrara River"
"Noatak River"
"Nolichucky River, North Broad River"
"North acific Ocean"
"North Atlantic Ocean"
"North Bay"
"North Fork Holston River"
"North Fork White River"
"North Lake"
"North Landing River"
"North Pacific Ocean"
"North Platte River"
"North River"
"North Sea"
"Northern Seas"
"Northwest Atlantic Ocean"
"Northwest Passages"
"Norton Bay"
"Norton Sound"
"Norwegian Sea"
"Notteley River"
"Nottoway River"
"Nueces River"
"Nuka Bay"
"Nyanga River"
"Obion River"
"Obion River, Mississippi River"
"Ochlockonee River"
"Oconee River"
"Ogeechee River"
"Ogontz River"
"Ogooué River"
"Ogoouè River"
"Ogooué-Okano River"
"Ohio River"
"Okavango River"
"Oklawaha River"
"Oneida Lake"
"Ontonagon River"
"Orange River"
"Orinoco Delta"
"Osage River"
"Osewgo River"
"Oswegat River"
"Oswegatchie River"
"Oswegatchie River, Black River"
"Oswego River"
"Ottawa River"
"Ouachita"
"Ouachita River"
"Ovid Lake"
"Owasco River"
"Oyapock Bay"
"Pacific Ocean"
"Paint River"
"Pamlico River"
"Pamlico Sound"
"Pamunkey River"
"Pangani River"
"Park Lake"
"Parker River"
"Parry Sound"
"Pascagoula River"
"Passa River"
"Passaic River"
"Patapsco River"
"Patuxent River"
"Patuxent River, Chesapeake Bay"
"Pavlof Bay"
"Pawcatuck River"
"Payer's Harbor"
"Pea River"
"Peace River"
"Peach Creek"
"Pearl River"
"Pechora River"
"Peconic River"
"Pecos"
"Pecos River"
"Pee Dee River"
"Penobscot Bay"
"Penobscot River"
"Perdido River"
"Persian Gulf"
"Phongolo River"
"Piankatank River"
"Pigeon Creek"
"Pigeon River"
"Pine River"
"Pleasant Lake"
"Pleasant Pond"
"Pocatalico River"
"Pocomoke River"
"Pomeroy Lake"
"Port Moller Bay"
"Portage Bay"
"Possession Bay"
"Possession Sound"
"Potato River"
"Poteau River"
"Potomac River"
"Potomac River, Monocacy River"
"Potter Lake"
"Powell River"
"Prairie Lake"
"Prince William Sound"
"Princess Marie Bay"
"Prudhoe Bay"
"Puget Sound"
"Queen Charlotte Sound"
"Rainbow Lake"
"Raisin River"
"Rappahannock River"
"Raquette River"
"Raritan River"
"Red"
"Red Cedar River"
"Red River"
"Red Sea"
"Reelfoot Lake"
"Rice Strait"
"Riddell's Bay"
"Rifle River"
"Río Acaponeta"
"Rio Acari"
"Río Alegre"
"Río Amazonas"
"Río Ameca"
"Río Apere, Río Mamoré"
"Río Apure"
"Río Apurimac"
"Río Armeria"
"Río Balsas"
"Río Baria"
"Río Beni"
"Río Bermejo"
"Río Biobío"
"Rio Branco"
"Río Branco"
"Río Caripe"
"Río Cauca"
"Río Caura"
"Río Cayapas"
"Río Chalchahaupa"
"Río Chapare"
"Río Chitaria"
"Río Chontalcoatlan"
"Río Chubut"
"Río Chucunaque"
"Río Coatzacoalca"
"Río Coatzacoalcos"
"Río Cochea"
"Río Conchas"
"Río Copiapó"
"Río Córdoba"
"Río Corobici"
"Río Coroico"
"Río Corrogres"
"Río Cuchujaqui"
"Río Curanja"
"Río Curinilahue"
"Río de Collacagua"
"Río de la Pasión"
