verbatimGeodeticDatum	standardGeodeticDatum	epsg	standard	checked
WGS 894	WGS84	4326	0	1
WGS*4	WGS84	4326	0	1
WGS1984	WGS84	4326	0	1
WGS4	WGS84	4326	0	1
WGS48	WGS84	4326	0	1
WGS66	WGS66	4326	1	1
WGS72	WGS72	4326	1	1
WGS8	WGS84	4326	0	1
WGS82	WGS84	4326	0	1
WGS83	WGS84	4326	0	1
WGS84	WGS84	4326	1	1
WGS-84	WGS84	4326	0	1
WGS84)	WGS84	4326	0	1
WGS84/NAD83	WGS84	4326	0	1
WGS84`	WGS84	4326	0	1
WGS845	WGS84	4326	0	1
WGS84a	WGS84	4326	0	1
WGS84zL	WGS84	4326	0	1
WGS85	WGS84	4326	0	1
WGS86	WGS84	4326	0	1
WGS87	WGS84	4326	0	1
WGS8R	WGS84	4326	0	1
WGS94	WGS84	4326	0	1
WGS984	WGS84	4326	0	1
WGSI4	WGS84	4326	0	1
WGSW84	WGS84	4326	0	1
World Geodetic System 1984	World Geodetic System 1984	4326	0	1
WSG84	WGS84	4326	0	1
WSGS 84	WGS84	4326	0	1
WSGS84	WGS84	4326	0	1
Yacare	Yacare	4309	1	1
Zanderij	Zanderij	4311	1	1
