verbatimMonth	monthNumber	dayOfYearForFirst	checked
29 Mar	3	59	1
29 Oct	10	273	1
3	3	59	1
3 APR	4	90	1
3 or 5			1
3 or 7			1
3 Sep	9	243	1
3/			1
3/*/			1
30			1
30 198			1
30 July	7	181	1
30 Jun	6	151	1
30 Nov 	11	304	1
30 October	10	273	1
30Jun	6	151	1
31			1
31 July	7	181	1
31Jan	1	0	1
31May			1
4	4	90	1
4 Apr	4	90	1
4 Aug	8	212	1
4 August	8	212	1
4 Feb	2	31	1
4 Jul	7	181	1
5	5	120	1
55			1
6	6	151	1
6 Aug	8	212	1
6 January	1	0	1
6 Jul	7	181	1
6/			1
6/*/			1
6/12/			1
6/17	6	151	1
69			1
7	7	181	1
7-			1
7 Jul	7	181	1
7 Jun	6	151	1
7/*/			1
7/*/1			1
75 			1
8	8	212	1
8 Jul	7	181	1
8/*/			1
80			1
8th			1
9	9	243	1
9/29/	9	243	1
9/82	9	243	1
9-13 Sept	9	243	1
99			1
9th			1
a			1
a Barcelona l'abril de			1
AAPR	4	90	1
about			1
abr	4	90	1
Actober	10	273	1
ago	4	90	1
alive February	2	31	1
and			1
and 15 Feb			1
and August of			1
and Autumn			1
and September of			1
and? Jul			1
anterior			1
anterior al			1
anys			1
ao 1986 et 7 mai			1
Apirl	4	90	1
Apr	4	90	1
Apr-	4	90	1
Apr 1942 or 4 Dec			1
Apr 1979	4	90	1
Apr no			1
APR/MAY			1
april	4	90	1
April-	4	90	1
April 16	4	90	1
April/May			1
April?	4	90	1
Aprli	4	90	1
ARP	4	90	1
Arpril	4	90	1
AUB	8	212	1
Audust	8	212	1
Aug	8	212	1
Aug-	8	212	1
Aug -	8	212	1
Aug  1971 	8	212	1
Aug 1955 or			1
Aug 1969 &			1
Aug 1970	8	212	1
Aug 1971	8	212	1
Aug 1997;	8	212	1
Aug 2000	8	212	1
Aug 6	8	212	1
Aug;	8	212	1
Augm	8	212	1
August	8	212	1
August-	8	212	1
August and September			1
August or July			1
Augustust	8	212	1
Auh	8	212	1
AUT	8	212	1
Autumn			1
before			1
before 1935 or			1
ca			1
calcula que és de la dècada dels 90 (entre			1
check			1
Circa			1
ctober	10	273	1
Date			1
date [probably 21			1
date as			1
date; received at museum in			1
date]			1
DDec	12	334	1
de			1
de desembre	12	334	1
de fra Julià			1
de fra Julià de Boltaite			1
de gener	1	0	1
de l'agost	8	212	1
de l'agost de			1
de l'any			1
de novembre	11	304	1
dead 20 September			1
Dec	12	334	1
Dec-	12	334	1
Dec -	12	334	1
Dec  1894 	12	334	1
Dec  1962	12	334	1
Dec 1955 or			1
Dec 1978	12	334	1
Dec 1979 	12	334	1
Dec*	12	334	1
dècada			1
December	12	334	1
Decemeber	12	334	1
Decmeber	12	334	1
dedueix en la dècada dels			1
dedueix entre 1990 i			1
dedueix entre 2000 i			1
dedueix entre el 1990 i			1
del			1
del 21 de juliol de			1
DEP	9	243	1
dic	12	334	1
early			1
el			1
el dia 15 i el 26 de maig de			1
ene	1	0	1
entre 1990 i			1
entre 2000 i			1
entre el 1990 i			1
entre el 1990 i maig del			1
entre el 1990 i març del			1
entre l'any 2000 i			1
estiu-			1
exact date			1
FAL			1
Fall			1
Fall-			1
FALSE			1
Feb	2	31	1
Feb-	2	31	1
Feb -	2	31	1
Feb 1923; 24 May			1
Feb and early Mar			1
February	2	31	1
Febuary	2	31	1
Feburary	2	31	1
Fen	2	31	1
field			1
fr  Marti Rossell			1
gener	1	0	1
Hatched			1
hivern			1
Hune	6	151	1
i	1	0	1
ii	2	31	1
iii	3	59	1
in			1
in 1890			1
iv	4	90	1
ix	9	243	1
Jan	1	0	1
Jan-	1	0	1
Jan -	1	0	1
Jan  4	1	0	1
Jan 1971 or			1
Jan/Feb			1
JANB	1	0	1
Januaery	1	0	1
January	1	0	1
January 17	1	0	1
January 6	1	0	1
Januray	1	0	1
JJUL	7	181	1
Jube	6	151	1
Jul	7	181	1
Jul-	7	181	1
Jul 1970	7	181	1
Jul 1970& 3 Apr			1
Jul 1976	7	181	1
Jul 22	7	181	1
Jult	7	181	1
July	7	181	1
July-	7	181	1
July 18 	7	181	1
July 1963	7	181	1
July 1964	7	181	1
July 1970 	7	181	1
July 1974 (17			1
July 1974 and 9 August			1
Jun	6	151	1
Jun & 27 Jun	6	151	1
Jun 1959	6	151	1
June	6	151	1
June-	6	151	1
June - Aug			1
June or 3 July			1
June/July			1
Juune	6	151	1
Juy	7	181	1
l'abril i el juny de			1
Late			1
late1970/early			1
MAAR	3	59	1
Maech	3	59	1
Maexh	3	59	1
Mar	3	59	1
Mar-	3	59	1
Mar -	3	59	1
Mar no			1
Mar/Apr			1
March	3	59	1
March-	3	59	1
March 13 or			1
March 19	3	59	1
March 3 or			1
March or 01 April			1
Marcy	3	59	1
MAT			1
May	5	120	1
May-	5	120	1
May 1959 or			1
May 1987 and 5 June			1
May or June			1
May(?)	5	120	1
May/June			1
Mid			1
MMAR	3	59	1
MRA	3	59	1
MYA	5	120	1
No			1
Nov	11	304	1
Nov -	11	304	1
Nov 1955 or			1
Nov 1959 or			1
Nov 1965 or			1
Nov 1983 	11	304	1
Nov/21			1
Nov/Dec			1
NOVC	11	304	1
November	11	304	1
November 1952	11	304	1
November 2 or			1
Novembr	11	304	1
novembre	11	304	1
Novermber	11	304	1
NV	11	304	1
o			1
o igual			1
Oct	10	273	1
Oct-	10	273	1
Oct -	10	273	1
Oct  28	10	273	1
Oct & 5 Nov			1
OCT 1960	10	273	1
Oct/Dec			1
Oct/Nov			1
October	10	273	1
of			1
of March	3	59	1
of May	4	90	1
of Oct 	10	273	1
on label: 1997			1
OPCT	10	273	1
or			1
or 10 May			1
or 21			1
or 23 May 			1
or 28 June			1
or 29 June			1
or 48			1
or 5 Nov 			1
or 7 Apr			1
or 9 Jan			1
or August			1
or December			1
or July			1
or Jun			1
or June			1
or Nov			1
or Oct 	10	273	1
or Sept 			1
per fr  Gabriel de S  José			1
POCT	10	273	1
pre			1
primavera			1
probablement			1
purchased			1
Rec'd			1
recd December			1
RecdDecember			1
Received			1
recol·lectat entre 1990 i			1
SE[	9	243	1
Semptember	9	243	1
SEO	9	243	1
Sep	9	243	1
Sep-	9	243	1
Sep  no			1
Sep no			1
Sep-Nov			1
Sept	9	243	1
Sept-	9	243	1
Sept -	9	243	1
Sept  19	9	243	1
Sept 1969 	9	243	1
Septbember	9	243	1
Septebmer	9	243	1
September	9	243	1
September-	9	243	1
September 1989	9	243	1
Septemberr	9	243	1
Septemeber	9	243	1
Septemer	9	243	1
Septmber	9	243	1
Septmeber	9	243	1
SPE	9	243	1
SPR			1
SPR/SUM			1
Spring			1
Spring/Summer			1
Station			1
SUM			1
Sumer			1
SUMM			1
Summer			1
Summer 1975 & Feb			1
summer June			1
summer of 2004 or			1
Summer/Fall			1
Summer/Spring			1
tardor			1
through 15-Jun-			1
to			1
to 3 Aug			1
to 4-Apr-			1
to Mar			1
to mid			1
to mid May			1
to September			1
unk			1
v	5	120	1
Vaction			1
vi	6	151	1
vii	7	181	1
viii	8	212	1
week			1
week Aug	8	212	1
week Dec 	12	334	1
week in Aug	8	212	1
week in Jun	6	151	1
week in March	3	59	1
week in Sep	9	243	1
week Jun	6	151	1
week Mar 	3	59	1
week May			1
week of April	4	90	1
week of Aug	8	212	1
week of Jan	1	0	1
week of June	6	151	1
week of March	3	59	1
Week of Nov	11	304	1
week of Sep	9	243	1
week Sep	9	243	1
WIN			1
winter			1
Winter-			1
Winter- rec  1981- April			1
wk  of Sept 	9	243	1
x	10	273	1
x 1984			1
x 1984,em 5 xi			1
XCT	10	273	1
xi	11	304	1
xi 1994	11	304	1
xi[no	11	304	1
xii	12	334	1
xii 1983	12	334	1
XX			1
XXX			1
XXXZ			1
year			1
