"u_datumstr","epsg"
"12S",
"12T0574452E 4531017N",
"-13.005",
"-13.01",
"-13.07916667",
"-13.11667",
"-13.16425",
"-13.25",
"-13.25433",
"-13.25789",
"-13.25986",
"-13.274583",
"-13.274978",
"-13.275472",
"-13.276283",
"-13.27647",
"-13.276503",
"-13.276505",
"-13.3167",
"-13.357461",
"-13.3833",
"-13.4",
"-13.405408",
"-13.4333",
"-13.487613",
"-13.5105",
"-13.55",
"13.71667",
"13.7433333333333",
"-13.831667",
"-13.83333",
"-13.9538496",
"-13.9539501",
"-13.9540645",
"-13.954577",
"-13.9551841",
"-13.9552798",
"-13.955384311",
"-13.9554883",
"-13.961389",
"13/05/1949",
"13/08/1936",
"1313",
"13194",
"13277",
"134",
"13428",
"1355",
"13580",
"137",
"138",
"138.585E",
"139",
"13907",
"13913",
"1393",
"13942",
"14",
"14.31168",
"-14.40812",
"-14.4667",
"14.654933",
"14.76791",
"141",
"141.0205080000",
"1416",
"14465",
"145.602E",
"14542",
"14558",
"147.5463870000",
"-15.0333",
"-15.17941",
"15.351667",
"-15.45461",
"-15.45658",
"-15.52825",
"-15.5472",
"-15.61503",
"-15.67585",
"-15.67607",
"-15.67625",
"-15.6833333333333",
"-15.78505",
"-15.7859",
"-15.786",
"-15.78635",
"-15.78685",
"-15.7877",
"-15.78773",
"-15.78788",
"-15.7879",
"-15.78795",
"-15.78805",
"-15.78842",
"-15.78848",
"-15.78853",
"-15.78882",
"-15.79362",
"-15.79762",
"-15.79788",
"-15.79792",
"-15.798",
"-15.79832",
"-15.79835",
"-15.79838",
"-15.79847",
"-15.79887",
"-15.79902",
"-15.79907",
"-15.7991",
"-15.80072",
"-15.80098",
"-15.80112",
"-15.8039",
"-15.84",
"-15.86623",
"-15.8667",
"-15.9167",
"-15.95699",
"-15.98333",
"15/07/1949",
"1500",
"15067",
"15112",
"15126",
"15200",
"15219",
"1527",
"1528",
"1529",
"153311.1",
"1537",
"1538",
"15418",
"15440",
"15450",
"155",
"15593",
"15594",
"156",
"15639",
"15669",
"15670",
"15788",
"15789",
"16",
"-16.03333",
"-16.07178",
"-16.07202",
"-16.07447",
"-16.07457",
"-16.07512",
"-16.07518",
"-16.0752",
"-16.07523",
"-16.07528",
"-16.07532",
"-16.07537",
"-16.07547",
"-16.0755",
"-16.07552",
"-16.07553",
"-16.07555",
"-16.07557",
"-16.0756",
"-16.07572",
"-16.0759",
"-16.07597",
"-16.07678",
"-16.0973",
"-16.0974",
"-16.09748",
"-16.10305",
"-16.11592",
"16.1333333333333",
"-16.16667",
"-16.20825",
"-16.25865",
"-16.26035",
"-16.33333",
"-16.35208",
"16.4",
"-16.4231672",
"-16.46437225",
"-16.46511",
"-16.4661493",
"-16.47326",
"-16.48666",
"-16.49239",
"16.5666666666667",
"-16.573",
"16.6",
"16.6333333333333",
"16.634444",
"-16.69215",
"16.7",
"-16.74",
"16.75",
"16.7833333333333",
"-16.79216",
