lifestage	standard	vetted
ADULT FEMALE, 240-208-80-17	adult	1
ADULT MALE	adult	1
ADULT MALE [= A FEMALE]	adult	1
ADULT MALE [FEMALE ?]	adult	1
ADULT MALE BY PLUMAGE	adult	1
ADULT MALE(?), GONAD SHOT	adult	1
ADULT N/A	adult	1
ADULT(?)	adult	1
ADULT, ~ 20 YEARS	adult	1
ADULT, 13Y,9M,22D	adult	1
ADULT, 15Y,11M,26D	adult	1
ADULT, 18Y,7M,24D	adult	1
ADULT, 5Y, 9M, 270D	adult	1
ADULT, ASY	adult	1
ADULT, EGG	adult | egg	1
ADULT, EMBRYO	adult | embryo	1
ADULT, EPIP FUSED	adult	1
ADULT, EPIP FUSED BUT SMOOTH	adult	1
ADULT, EPIP JUST FUSED, YOUNG OF	adult	1
ADULT, EPIP. WHITE	adult	1
ADULT, LARVA	adult | larva	1
ADULT, SECOND YEAR	adult	1
ADULT/FEMALE	adult	1
ADULT; 13Y, 0M, 3D	adult	1
ADULT; 20+ YEARS OLD	adult	1
ADULT; AFTER SECOND YEAR	adult	1
ADULT; ASY	adult	1
ADULT; AT LEAST 3 YEARS OLD	adult	1
ADULT; FIRST YEAR	adult	1
ADULT; SECOND YEAR	adult	1
ADULT?	adult	1
ADULT?, EPIP FUSED BUT SMOOTH	adult	1
ADULT`	adult	1
ADULT11.1 G	adult	1
ADULTA	adult	1
ADULTBY PLUMAGE	adult	1
ADULTL	adult	1
ADULTO	adult	1
ADULTO (13)	adult	1
ADULTO (19)	adult	1
ADULTO (20)	adult	1
ADULTO; EN MUDA	adult, in molt	1
ADULTS + NESTLINGS	adults | nestlings	1
ADULTS, EGGS	adult, egg	1
ADULY	adult	1
ADUT	adult	1
ADUTL	adult	1
AFTER FOURTH YEAR	after fourth year	1
AFTER HATCH YEAR	after hatch year	1
AFTER SECOND YEAR	after second year	1
AFTER SECOND YEAR ADULT	adult	1
AFTER THIRD YEAR	after third year	1
AFTER-HATCHING YEAR		1
AHY	adult	1
AHY MALE	AHY	1
AHY/ASY	adult	1
AN	adult	1
APPARENTLY ADULT	adult	1
APPROX 8 MO.		1
APPROX 9 MO		1
APPROX. 5 YRS.		1
AS LEAST A 2 YR OLD		1
ASY	adult	1
AT LEAST 15Y		1
AT LEAST 3 YRS		1
AT LEAST 5 YEARS OLD		1
AUB-ADT		1
BASIC 2	Basic 2	1
BASIC 4	Basic 4	1
BORN 18 JUN 1976		1
BREDDING	adult	1
BREEDING	adult	1
BREEDING ADULT	adult	1
BREEDING ADULT FEMALE	adult	1
CAUGHT BENEATH A STUMP ON CANYON		1
CAUGHT IN A VOLE RUN ON CANYON S		1
CHICK	chick	1
CHICK & EGGSHELL	chick	1
CHICK 3-6 DAYS	chick	1
COCHISE		1
D2?	D2?	1
DETERMINE	unknown	1
DISSECT	unknown	1
DOWNY	chick	1
DOWNY CHICK	chick	1
DOWNY YOUNG	chick	1
DOWNY YOUNG [SEX ?]	downy young	1
E	egg	1
EG	egg	1
EGG	egg	1
EGG AND LARVAE	egg, larva	1
EGG CASE	egg case	1
EGG CASES	egg case	1
EGG- CASES	egg case	1
EGG, ADULT	adult | egg	1
EGG, JUVENILE	egg | juvenile	1
EGG, JUVENILE, ADULT	adult | egg | juvenile	1
EGG, LARVA	egg | larva	1
EGG, LARVA, ADULT	adult | egg | larva	1
EGGCASE	egg case	1
EGGCASES	egg case	1
EGGS	eggs	1
EGGS AND EMBRYO	egg, embryo	1
EGGS AND LARVAE	egg, larva	1
EGGS AND LARVS	egg, larva	1
EGGS YOLK SAC LARVAE	egg yolk sac larva	1
EGGS, EMBRYOS	egg, embryo	1
EGGS/LARVAE	egg, larva	1
EGGS/OVARIES	egg, ovary	1
EM	embryo	1
EMB 1 EMB. 18MM	adult	1
EMB.	embryo	1
EMBRYO	embryo	1
EMBRYO + EGGS	embryo, egg	1
EMBRYO DEAD	embryo	1
EMBRYO DIED EARLY.	embryo	1
EMBRYO, ADULT	adult | embryo	1
EMBRYO, EGG	egg | embryo	1
EMBRYO, EGGS	embryo, egg	1
EMBRYONIC	embryo	1
EMBRYOS	embryo	1
EPIP. FUSED BUT SMOOTH		1
EPIP. NOT FUSED BUT 1 YEAR OLD		1
EST 7 YRS		1
F	unknown	1
F-	unknown	1
F  ADULT	adult	1
F  AGE 5 YRS.		1
F (FLACID)		1
F (FULL DEV. EGGS)	adult	1
F (GRAN)		1
F (GRAN.)		1
F (HY)		1
F (LF 15X8)		1
F (LF=0.7)		1
F (MP)		1
F (NO EMB)		1
F (OSE)		1
F (PERF)		1
F (PROBABLY)		1
F ?	unknown	1
F 10 DAYS OLD		1
F 1971HY		1
F 1976 HY		1
F 1977HY		1
F 1979HY		1
F 1980 HY		1
F 1980HY		1
F 1981 HY		1
F 1981HY		1
F 1ST YEAR		1
F 1ST YR.		1
F 1ST YR. HY		1
F 3 YRS.		1
F 5 YR.		1
F 6 DAYS OLD		1
F 6 YRS.		1
F 74HY		1
F AD	adult	1
F AD.	adult	1
F AGE 3 YRS.		1
F AGE 31 DAYS		1
F AGE 7 YRS.		1
F AGE 8 YRS.		1
F AGE 9 YRS.		1
F -CLASS IA-B		1
F HATCHED ABOUT 1 JUNE, 1979		1
F IMM	immature	1
F IMM. YY	immature	1
F IMMATURE	immature	1
F JUV	juvenile	1
F JUV.	juvenile	1
F NO EMB		1
F NO PL. SC.		1
F PARTIAL IMM.	immature	1
F S.AD.	adult	1
F SUBAD.	subadult	1
F SUBADULT	subadult	1
F(?)/SUB-ADULT	subadult	1
F(HY)		1
F, 1ST YEAR		1
F, NESTLING	nestling	1
