preparations	standard	vetted
ALCOHOLIC (ENTIRE SPECIMEN), TISSUE 2110	alcoholic (entire specimen), tissue	1
ALCOHOLIC (ENTIRE SPECIMEN), TISSUE 2113	alcoholic (entire specimen), tissue	1
ALCOHOLIC (ENTIRE SPECIMEN), TISSUE 4931	alcoholic (entire specimen), tissue	1
ALCOHOLIC (ENTIRE SPECIMEN), TISSUE 5904	alcoholic (entire specimen), tissue	1
ALCOHOLIC AND DRY INDIVIDUAL PRIMARIES AND SECONDARIES	alcoholic | dry primaries | dry secondaries	1
ALCOHOLIC AND DRY INDIVIDUAL PRIMARIES AND SECONDARIES, TISSUE	alcoholic | dry primaries | dry secondaries | tissue	1
ALCOHOLIC CARCASS	alcoholic carcass	1
ALCOHOLIC OTHER (PARTIAL SPECIMEN)	alcoholic (partial specimen)	1
ALCOHOLIC, EGGS	alcoholic | eggs	1
ALCOHOLIC, FLAT SKIN	alcoholic | flat skin	1
ALCOHOLIC, HYOID	alcoholic | hyoid	1
ALCOHOLIC, OTHER	alcoholic | other preparation	1
ALCOHOLIC, OTHER PREP	alcoholic | other preparation	1
ALCOHOLIC, ROUND SKIN	alcoholic | round skin	1
ALCOHOLIC, ROUND SKIN, PARTIAL SKELETON	alcoholic | partial skeleton | round skin	1
ALCOHOLIC, SKIN	alcoholic | skin	1
ALCOHOLIC, SKIN, TISSUE	alcoholic | skin | tissue	1
ALCOHOLIC, SKULL	alcoholic | skull	1
ALCOHOLIC, SKULL PREPARED, SKIN & BODY DRIED	alcoholic | skull prepared | skin & body dried	1
ALCOHOLIC, SOUND RECORDING	alcoholic | sound recording	1
ALCOHOLIC, TISSUE	alcoholic | tissue	1
ALCOHOLIC, TISSUE, SKIN	alcoholic | skin | tissue	1
ALCOHOLIC, TISSUE, TISSUE	alcoholic | tissue	1
ALCOHOLIC, TISSUE, TISSUE, WING	alcoholic | tissue | wing	1
ALCOHOLIC, TISSUE, WING	alcoholic | tissue | wing	1
ALCOHOLIC, TISSUE, WING, TISSUE	alcoholic | tissue | wing	1
ALCOHOLIC, WING	alcoholic | wing	1
ALCOHOLIC, WING, TISSUE	alcoholic | tissue | wing	1
ALCOHOLIC/SKULL	alcoholic | skull prepared | skin & body dried	1
ALIZ SKEL+DRY SKULL	alizarin skeleton | dry skull	1
ALIZ. SKEL	alizarin skeleton	1
ALIZ. SKEL.	alizarin skeleton	1
ALIZ. SKEL., HYOID	alizarin skeleton | hyoid	1
ALIZ. SKEL., LARYNX	alizarin skeleton | larynx	1
ALIZ. SKEL., SKIN	alizarin skeleton | skin	1
ALIZ. SKELETON	alizarin skeleton	1
AN	anatomical	1
ANTERIOR PORT. OF SK	partial skull	1
ANTERIOR POST-CRANIUM (DRY)	anterior post-cranium	1
ANTLER	antler	1
ANTLER (ABNORMAL).	antler (abnormal)	1
ANTLER BASE	antler base	1
ANTLER FRAG	antler fragment	1
ANTLER HALF BASE	antler base	1
ANTLER ONLY	antler	1
ANTLER SEGMENT	antler segment	1
ANTLER VELVET	antler velvet	1
ANTLER, LEFT	left antler	1
ANTLER, RIGHT	right antler	1
ANTLER.	antler	1
ANTLERS	antlers	1
ANTLERS/MANDIBLE	antlers | mandible	1
ANTLERS; SKULL CAP	antlers | skull cap	1
AO	alcoholic other (partial specimen)	1
ARMOR AND SKEL.	armor | skeleton	1
ASST. BONES	bones	1
ASST. LIMB ELEMENTS	limb elements	1
ASST. SKEL. PARTS O.	sketetal parts	1
ASTRAGALUS.	astragalus	1
ATLAS.	atlas	1
AXIAL SKELETON AND FLUID SKIN AND HEAD	axial skeleton | fluid skin | fluid head	1
AXIS.	axis	1
B	eggs | nest	1
BACULUM	baculum	1
BACULUM, COMPLETE SKELETON	baculum | complete skeleton	1
BACULUM, FLUID	baculum | fluid	1
BACULUM, OTHER	baculum | other preparation	1
BACULUM, PART	baculum | partial skeleton	1
BACULUM, PARTIAL SKELETON	baculum | partial skeleton	1
BACULUM, PARTIAL SKELETON, SKULL	baculum | partial skeleton | skull	1
BACULUM, SKIN	baculum | skin	1
BACULUM, SKIN, SKULL	baculum | skin | skull	1
BACULUM, SKULL	baculum | skull	1
BACULUM, SKULL, COMPLETE SKELETON	baculum | skull | complete skeleton	1
BACULUM, SKULL, PARTIAL SKELETON	baculum | skull | partial skeleton	1
BACULUM, SKULL, SKIN, COMPLETE SKELETON	baculum | complete skeleton | skin | skull	1
BACULUM.	baculum	1
BALEEN	baleen	1
BALEEN PLATE	baleen plate	1
BASE OF ANTLER.	antler base	1
BASIOCCIPITAL	basioccipital	1
BASIOCCIPITAL.	basioccipital	1
BEAK	beak	1
BEAK  LEG AND FEATHERS (STOMACH CONTENTS OF AN OTUS KENNICOTTII)	beak | leg | feathers | stomach contents	1
BEAK & STERNUM	beak | sternum	1
BEAK.	beak	1
BIRDPREP - 1	BirdPrep - 1	1
BLOOD	blood	1
BLOOD (MICROSLIDES)	blood (microslides)	1
BLOOD FILM (MICROSLIDE)	blood film (microslide)	1
BLOOD, TISSUE	blood | tissue	1
BLOOD/FEATHER	blood | feather	1
BLOOD/FEATHER, TISSUE	blood | feather | tissue	1
BLOOD/FEATHERS	blood | feathers	1
BLOOD/FEATHERS, TISSUE	blood | feathers | tissue	1
BM	body mount (taxidermy mount)	1
BODY GUT (GLYCERIN)	body gut (glycerin)	1
BODY MOUNT	body mount	1
BODY MOUNT (TAXIDERMY MOUNT)	body mount (taxidermy mount)	1
BODY MOUNT OR CAST	body mount	1
BODY MOUNT WITH BODY SKELETON	body mount, body skeleton	1
BODY MOUNT WITH BODY SKELETON, TISSUE 6402	body mount, body skeleton, tissue	1
BODY MUMMY	body mummy	1
BODY SKELETON ONLY	body skeleton	1
BONE FRAGMENTS ONLY	bone fragments	1
BONE FRAGS. O.	bone fragments	1
BS	body skeleton	1
BULLA	bulla	1
BULLA, ROUND SKIN, PART SKEL, TISSUE - 1	bulla | partial skeleton | round skin | tissue - 1	1
BULLA, ROUND SKIN, PART SKEL, TISSUE, WING - 1	bulla | partial skeleton | round skin | tissue | wing - 1	1
BULLA, ROUND SKIN, PART SKEL, TISSUE, WING - 1; BIRDPREP - 1	BirdPrep - 1 | bulla | partial skeleton | round skin | tissue | wing - 1	1
BULLA, ROUND SKIN, TISSUE - 1	bulla | round skin | tissue - 1	1
C AND S - 1	cleared and stained	1
C&S	cleared and stained	1
C&S, DRY	cleared and stained | dry	1
C&S, DRY SKULL	cleared and stain | dry skull	1
C&S, DRY, FLUID	cleared and stained | dry | fluid	1
C&S, FLUID	cleared and stained | fluid	1
C&S, FLUID, DRY	cleared and stained | dry | fluid	1
C&S, FLUID, DRY, HEMIPENIS	cleared and stained | dry | fluid | hemipenis	1
C&S, FLUID, HEMIPENIS	cleared and stained | fluid | hemipenis	1
C&S, HEMIPENIS, FLUID	cleared and stained | fluid | hemipenis	1
C&S, HEMIPENIS, FLUID, DRY	cleared and stained | dry | fluid | hemipenis	1
C&S, MICROTECHNIQUE	cleared and stained | microtechnique	1
C&S, MICROTECHNIQUE, FLUID	cleared and stained | fluid | microtechnique	1
