geodeticdatum	standard	vetted
186_WGS_2012	not recorded	1
186_WGS_2013	not recorded	1
186_WGS_2014	not recorded	1
186_WGS_2015	not recorded	1
186_WGS_2016	not recorded	1
186_WGS_2017	not recorded	1
186_WGS_2018	not recorded	1
186_WGS_2019	not recorded	1
186_WGS_2020	not recorded	1
186_WGS_2021	not recorded	1
186_WGS_2022	not recorded	1
186_WGS_2023	not recorded	1
186_WGS_2024	not recorded	1
186_WGS_2025	not recorded	1
186_WGS_2026	not recorded	1
186_WGS_2027	not recorded	1
186_WGS_2028	not recorded	1
186_WGS_2029	not recorded	1
186_WGS_2030	not recorded	1
186_WGS_2031	not recorded	1
186_WGS_2032	not recorded	1
186_WGS_2033	not recorded	1
186_WGS_2034	not recorded	1
186_WGS_2035	not recorded	1
186_WGS_2036	not recorded	1
186_WGS_2037	not recorded	1
186_WGS_2038	not recorded	1
186_WGS_2039	not recorded	1
186_WGS_2040	not recorded	1
186_WGS_2041	not recorded	1
186_WGS_2042	not recorded	1
186_WGS_2043	not recorded	1
186_WGS_2044	not recorded	1
186_WGS_2045	not recorded	1
186_WGS_2046	not recorded	1
186_WGS_2047	not recorded	1
186_WGS_2048	not recorded	1
186_WGS_2049	not recorded	1
186_WGS_2050	not recorded	1
186_WGS_2051	not recorded	1
186_WGS_2052	not recorded	1
186_WGS_2053	not recorded	1
186_WGS_2054	not recorded	1
186_WGS_2055	not recorded	1
186_WGS_2056	not recorded	1
186_WGS_2057	not recorded	1
186_WGS_2058	not recorded	1
186_WGS_2059	not recorded	1
186_WGS_2060	not recorded	1
186_WGS_2061	not recorded	1
186_WGS_2062	not recorded	1
186_WGS_2063	not recorded	1
186_WGS_2064	not recorded	1
186_WGS_2065	not recorded	1
186_WGS_2066	not recorded	1
186_WGS_2067	not recorded	1
186_WGS_2068	not recorded	1
186_WGS_2069	not recorded	1
186_WGS_2070	not recorded	1
186_WGS_2071	not recorded	1
186_WGS_2072	not recorded	1
186_WGS_2073	not recorded	1
186_WGS_2074	not recorded	1
186_WGS_2075	not recorded	1
186_WGS_2076	not recorded	1
186_WGS_2077	not recorded	1
186_WGS_2078	not recorded	1
1867	not recorded	1
1868	not recorded	1
19	not recorded	1
19.01133	not recorded	1
-19.01541	not recorded	1
19.016667	not recorded	1
-19.58777	not recorded	1
-19.606333	not recorded	1
-19.9	not recorded	1
-19.96829	not recorded	1
191	not recorded	1
1927	not recorded	1
1935	not recorded	1
196	not recorded	1
1962 AMERICAN SAMOA	American Samoa 1962	1
1984	not recorded	1
2	not recorded	1
-2.065133697	not recorded	1
-2.067313839	not recorded	1
-2.2502	not recorded	1
-2.299	not recorded	1
-2.3531497	not recorded	1
2.440811	not recorded	1
-2.635	not recorded	1
-2.8428	not recorded	1
-2.886725	not recorded	1
-2.9372	not recorded	1
20	not recorded	1
-20.4753	not recorded	1
20.5	not recorded	1
20.50139	not recorded	1
-20.65	not recorded	1
200	not recorded	1
2000	not recorded	1
2017/02/17	not recorded	1
20699	not recorded	1
20N	not recorded	1
21	not recorded	1
21.1	not recorded	1
21.111823	not recorded	1
21.35	not recorded	1
-21.37513889	not recorded	1
-21.38238889	not recorded	1
-21.38333333	not recorded	1
-21.48069	not recorded	1
-21.77769	not recorded	1
-21.99979	not recorded	1
210	not recorded	1
2132	not recorded	1
22	not recorded	1
22.211654	not recorded	1
-22.23156	not recorded	1
-22.24923	not recorded	1
-22.38703	not recorded	1
-22.46667	not recorded	1
-22.5222	not recorded	1
-22.52252	not recorded	1
22.64267	not recorded	1
-22.67033	not recorded	1
-22.67067	not recorded	1
22.967778	not recorded	1
-22.9858	not recorded	1
2200	not recorded	1
2267.192	not recorded	1
227	not recorded	1
2289	not recorded	1
23	not recorded	1
23.01033	not recorded	1
-23.04978	not recorded	1
-23.06666667	not recorded	1
23.18783	not recorded	1
-23.43836	not recorded	1
-23.48722222	not recorded	1
-23.5333	not recorded	1
2300	not recorded	1
2309	not recorded	1
238	not recorded	1
-24.22083	not recorded	1
-24.30008	not recorded	1
-24.6333	not recorded	1
-24.78212	not recorded	1
-24.78333333	not recorded	1
-24.8667	not recorded	1
-24.91005	not recorded	1
-24.9101	not recorded	1
242	not recorded	1
246A	not recorded	1
246-A	not recorded	1
248	not recorded	1
-25.0875	not recorded	1
-25.09407	not recorded	1
-25.10246	not recorded	1
-25.11241	not recorded	1
-25.1397	not recorded	1
-25.17	not recorded	1
-25.2155	not recorded	1
-25.25087	not recorded	1
-25.2825	not recorded	1
-25.2958	not recorded	1
-25.29767	not recorded	1
-25.29823	not recorded	1
-25.31809	not recorded	1
-25.37817	not recorded	1
-25.38333	not recorded	1
-25.38833	not recorded	1
-25.3883333333333	not recorded	1
-25.3958	not recorded	1
25.4	not recorded	1
-25.40792	not recorded	1
-25.43333	not recorded	1
